Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,4.266235590572684,4.246000331381205,4.2954476343620795,4.26479893631252,0.00016035762995230814,1355.2905643614604,1352.713388825935,1356.747793672689,1355.4571046412498,1.6205422712330098,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0,0.9373188451803859,0.9370568024157155,0.9377827986040014,0.9371235704612273,6.715572544788004e-08,71.13951625730957,70.46880199062552,73.10086434646519,70.69546017992668,0.8768647075108534,240.47614220729767,240.0419246750142,240.84898445500025,240.55875137455396,0.06643875477051848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.161283088726538,6.149109793290984,6.173985776229328,6.16043668158847,3.941488290794034e-05,1401.8990870569835,1401.210544328155,1403.3074968529359,1401.7348078214338,0.38275354581462406,0.48,0.48,0.48,0.48,0.0,0.9372893782809545,0.9372534423849754,0.9375536494959806,0.9372534423849754,8.81689677129003e-09,80.96395568791185,80.90106339605002,81.08096084706344,80.95890207440281,0.0020797117685001612,264.43704808508454,264.2192689798261,264.7660790129537,264.414456532286,0.01794979410521012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.546936868624746,7.526383043007666,7.581390085328108,7.547323109904093,0.0004498482230621016,1647.2842442377469,1630.2195025123722,1666.2863859987551,1656.3609628741578,240.0860480932339,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.93256307970031,0.9282129888777779,0.9371357934504573,0.9352704363907814,1.6371318074726852e-05,61.298209627298455,60.178167460684094,64.01124833639739,60.59016863528313,1.5778414557190352,285.88518420112274,283.74608622223826,288.16978780369584,286.4945421415476,2.8214939032552224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.823883428011948,3.0072208060573504,4.463096695627497,4.174626339900645,0.3475228317063697,1247.3442539284486,1232.4784459974592,1258.8217083976547,1247.061639882118,56.73095037370053,0.4354164359594925,0.4281586464645261,0.46271954882150873,0.4281586464645261,0.00013487398680771996,0.9333897250282471,0.9311676446667525,0.9349147983030334,0.9330834294420104,1.7025106297092337e-06,60.843892219928804,56.3748448747296,67.87619715181613,58.49743457261366,17.815319401863363,192.09663962990678,188.27849496765316,194.75069170359305,191.66553646410924,2.65318236089805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.133394088027764,3.9125159868804262,4.190366588180537,4.176076750037079,0.008126074665830664,1365.2700861940373,1337.7064152621463,1374.2522581781686,1368.6298335971042,105.03247172007299,0.48,0.48,0.48,0.48,0.0,0.9373951041862533,0.9371753418899536,0.9375865834237567,0.9374268042481595,7.89500345721389e-09,62.449457565081005,61.65814612572621,64.17415248330394,61.789262708503536,0.8527878524454202,229.67528723295797,223.39740576649874,231.5522455487459,231.0928987559793,7.387762296189201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.193210142247032,8.193210142247032,8.193210142247032,8.193210142247032,0.0,1706.918343269151,1706.918343269151,1706.918343269151,1706.918343269151,0.0,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,61.26035018518573,61.14776650032101,61.406621336790465,61.25723584861064,0.00549114045592182,332.76470108381034,332.7647010838104,332.7647010838104,332.7647010838104,0.0,71.59614375590391,70.58406847668263,77.16522013088365,70.81103858587264,4.4736207006975155,0.0,0.0,0.0,0.0,0.0
6,3.810126862348292,3.622413901113748,3.955710182680149,3.8122490945818717,0.007274434097207049,1153.0714286514974,1139.7507092102342,1169.3392428238901,1154.6160245483004,53.95982362144664,0.3755229253019199,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.9033164422437349,0.8978472659114919,0.9084536656807727,0.9030857971905,1.1089834358420177e-05,77.67152638696781,75.38279935969706,79.72129619609447,77.6922846320149,1.253728841168093,215.6449621049469,212.04107982830791,220.13880619910938,216.12311114663896,3.816072869580303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.275593033958879,5.221805417020786,5.316764553890873,5.288425833844053,0.0008058322672406191,1472.285979293443,1461.5207786352912,1481.72121371135,1474.9117936269058,37.45670038137605,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9377365863347901,0.9377180812651006,0.9377465130023507,0.9377411902499224,9.779442147088666e-11,78.59574200620865,77.31223617132035,81.3921103919896,77.88367055832322,2.497835084712104,288.19905680374853,284.9637015266383,291.0048593404596,288.99367242735235,3.3302230520433933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7436708643490206,0.5286382595300926,1.067484670520411,0.6783833751582438,0.04053993474377219,686.1443612793347,645.3494286769114,728.110306675215,685.6856150508386,656.0436248835484,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.0,0.8163648929269114,0.7920235033311136,0.8343236922187867,0.8190817541230625,0.00017815971284929465,80.10113699103019,75.54817755487163,86.37673516714618,79.68456949621574,10.035965785000396,121.55431443837307,115.36365350438643,126.1580064663655,122.12218269574088,10.339727198221091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.6572493406010154,0.5853647722461347,2.254614874194087,1.8575367425923897,0.2675994848773319,926.1346987179982,897.2984054273039,968.103929777126,923.8619342921418,435.3730019925604,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.8679776356901945,0.8538321328364933,0.875249114756978,0.8669782161999248,3.974888595664704e-05,78.34491738008839,71.57927893078693,83.05942122151954,80.45317613380175,18.04872404485577,165.08551010005598,160.2852411458857,172.27008815357937,163.43777996887934,17.290235073239757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.799108681161334,6.760835400050467,6.8311208856718855,6.795631305124943,0.00028124559385470305,1506.1939693741217,1501.8853898318166,1515.9594686353319,1505.4926886729954,18.36972491803359,0.48,0.48,0.48,0.48,0.0,0.9369438845703455,0.9369438845703455,0.9369438845703455,0.9369438845703455,0.0,59.88996758340207,59.50694421614322,60.09061376545422,59.92916607701243,0.033318130142217565,239.13965766911733,238.60291473849307,240.15674838337677,239.06638782421973,0.1934840408417957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
