,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_median,Yield (tonne/ha)_max,Yield (tonne/ha)_min,Yield (tonne/ha)_var,Es_mean,Es_median,Es_max,Es_min,Es_var,biomass_mean,biomass_median,biomass_max,biomass_min,biomass_var,harvest_index_mean,harvest_index_median,harvest_index_max,harvest_index_min,harvest_index_var,canopy_cover_mean,canopy_cover_median,canopy_cover_max,canopy_cover_min,canopy_cover_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,3.8882352485586247,3.2391568614377912,8.155965961854937,0.006990022712206883,7.3280087907618565,75.22071903410496,70.59623000019334,141.60553017208224,56.65549975571776,346.6284168463134,1151.3588062986357,1198.7671394558251,1702.2091710437492,175.9291977005666,160297.42140425535,0.40906561300558525,0.42038918629263605,0.48,0.03541034901305288,0.008765489633074813,0.8764734277259424,0.9290212768512229,0.937807158361598,0.2604617620784798,0.021663566783492183,01-12,02-12,28 days,59 days,28,59
1,2,3.9038575922873804,3.4411627588759877,8.155965961854937,0.0,7.159995861562467,75.80166863599499,71.09901651025675,141.89790252523773,57.59543006763528,362.8994040809426,1147.0404984737147,1209.8231790226118,1702.2091710437492,175.26798032434024,160443.9367350379,0.40889630814821387,0.42038918629263605,0.48,0.039553035347209824,0.00867057572300759,0.8744298143724653,0.9287232824152494,0.937807158361598,0.2529797571414255,0.02285187524163733,01-19,02-03,35 days,50 days,35,50
2,3,3.8900835754268304,3.239155391376309,8.155965961854937,0.008512558920568316,7.26037625400238,75.28180949913293,70.61519367812336,143.28912619797794,57.35266767419439,358.9859139797179,1149.1427194463186,1198.7671394558251,1702.2091710437492,165.89555561106306,160915.9162007726,0.4087161913510767,0.42038918629263605,0.48,0.03541034901305288,0.008810419465751234,0.87384288023934,0.930495544379765,0.937807158361598,0.23414985914067593,0.023636617926179174,01-17,02-15,33 days,62 days,33,62
3,4,3.882831059917962,3.239049516202078,8.155965961854937,0.007937268615802935,7.27715603679529,75.37950003684219,70.88223084986552,145.36777404971522,57.44470198657543,372.93195837752415,1147.5666012907102,1198.7671394558251,1702.2091710437492,149.55873537111466,162315.76728132938,0.4085535830508,0.42038918629263605,0.48,0.03167035810668932,0.008937951297100713,0.8733938672567199,0.9297071011515275,0.937807158361598,0.21427597982797997,0.024643635853132083,01-19,02-14,35 days,61 days,35,61
4,5,3.8900243923942988,3.2391568614377912,8.155965961854937,0.007177682882203329,7.330311448838487,75.33187813995524,70.59623109146492,141.69180643241017,56.65077022559418,349.0855022574555,1150.778760992528,1192.7057520379267,1702.2091710437492,174.9902058114921,161010.2409062071,0.4092457298027225,0.42038918629263605,0.48,0.039553035347209824,0.008625514295393624,0.8760828215496671,0.9291168747900416,0.937807158361598,0.2585444732513061,0.02179272768592883,01-12,02-13,28 days,60 days,28,60
