,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,4.599534178133223,0.0,8.478646849377665,4.541809527561862,7.2901735810493475,1248.1078725272885,377.8222359674325,1779.5115970291827,1294.981492806246,160811.8561883133,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8696772584809477,0.3389119641360705,0.9378088923333083,0.9334671436067022,0.02084528491322191,75.08280799737562,53.91556060799453,124.71905765026204,67.29948867313158,312.5060444656981,219.8155462127758,63.82834485881256,332.7647010838104,226.94876246297554,5648.182330025446,9.623737735110067,0.0,96.38473480388713,0.0,686.560479251175,0.0,0.0,0.0,0.0,0.0,03-10,04-26,86 days,133 days,86,133
1,2,4.489586804711775,0.0,8.454184596822332,4.8819786199616,7.520521133773772,1222.2149322901291,356.42424239569976,1775.4633992509027,1282.771890518575,165579.6480299511,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8736826816420351,0.37822225470418197,0.9378088923333083,0.9336759940185967,0.01909069781671757,77.11135937931121,54.85724207129853,117.38256273429178,72.31903212692573,289.86102250298484,212.55350468634938,54.69824569232457,332.7647010838104,223.8039986347097,6052.835459275284,9.54507007703363,0.0,96.38473480388713,0.0,676.3592415081299,0.0,0.0,0.0,0.0,0.0,03-06,05-11,82 days,148 days,82,148
2,3,4.469093897431999,0.0,8.444848525664495,4.873675428231108,7.574317996680634,1220.6041754394591,346.75860303015247,1773.7378390681263,1281.9776698901621,166926.162611795,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8748225577479549,0.3703247404012018,0.9378088923333083,0.9336758674344036,0.019239054088461677,77.53654536055613,54.856944819307735,121.27180564634872,72.55848961417297,302.4593330797126,211.85343112060104,52.838968082187996,332.7647010838104,223.76849947802086,6122.5088498000405,9.63368451225762,0.0,97.17912474076789,0.0,689.2710088659869,0.0,0.0,0.0,0.0,0.0,03-04,05-12,80 days,149 days,80,149
3,4,4.5284246004658755,0.0,8.448312372610742,4.527678013302477,7.58651619097823,1246.0589377961003,369.88013502080366,1775.4474810121794,1295.155147862244,161735.48018088212,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8753432665348067,0.3814719527388085,0.9378088923333083,0.933640674380083,0.018747071741991302,75.3961317420748,54.17735266999807,127.90817293421522,67.0136429593169,340.6604975109345,218.69244725597412,60.5449979842498,332.7647010838104,226.84678978188,5740.410730228691,9.711267756044048,0.0,99.5165255792956,0.0,706.6048629798034,0.0,0.0,0.0,0.0,0.0,03-03,04-27,79 days,134 days,79,134
4,5,4.375710359499847,0.0,8.317346158196687,4.673550353772494,7.501848830112158,1210.13495741331,312.76280862786945,1754.4757717732766,1275.7849882991802,164807.6425039497,0.42980393866406674,0.36246749895722374,0.48,0.43679887205377177,0.0020935951072778122,0.8779051199280802,0.36528576591022194,0.9378088923333083,0.9354983860857387,0.018832140388107276,77.29592556464311,57.99216606661131,124.86065839051027,72.82815324844567,266.7853490389414,208.7974564760835,48.08080193158275,332.7647010838104,211.99485232591357,5981.696416522489,9.531112819373737,0.0,105.72583533756404,0.0,723.8326374294114,0.0,0.0,0.0,0.0,0.0,02-26,05-14,73 days,151 days,73,151
5,6,4.525452472476621,0.0,8.453871492809842,4.83654619941707,7.335389753479162,1222.153183179022,350.65710367144453,1775.4231445357304,1282.7718905183378,166072.5260728428,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8696772584809477,0.3389119641360705,0.9378088923333083,0.9334671436067022,0.02084528491322191,77.15552780811583,54.857242071277234,116.94506835722846,72.85752499096031,284.67342663998977,212.98016445937336,55.01094191119872,332.7647010838104,223.84677297410315,6007.561862083411,9.632819513110306,0.0,96.38473480388713,0.0,687.4090164594176,0.0,0.0,0.0,0.0,0.0,03-10,05-11,86 days,148 days,86,148
6,7,4.465428438461174,0.0,8.384593244478749,4.8386652798062535,7.539182977737926,1219.0932235186642,329.7046472876425,1766.2157001668518,1279.8534879089307,166790.95443217797,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.876233306375562,0.37532062991638804,0.9378088923333083,0.9342659484078393,0.018758216506242386,77.76952228111313,54.85724199500475,121.99304310344722,72.03997119100516,327.8587923092853,211.670126520396,50.5228246505843,332.7647010838104,223.6912499638234,6029.700974910931,9.897594966892969,0.0,102.46801890766562,0.0,737.0109026874866,0.0,0.0,0.0,0.0,0.0,03-01,05-10,77 days,147 days,77,147
7,8,4.512529749903939,0.0,8.45393383397385,4.885426120687872,7.411971292777185,1221.2110310866335,337.69198313967553,1775.4346392416714,1282.7718905385034,167699.76246250016,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8683114013636444,0.3230583339204697,0.9378088923333083,0.9325450941162554,0.021717286248349347,77.59867774986908,54.82086438852574,119.62617895508383,72.89499638900914,307.5996347592008,212.84912391978045,52.60533216307752,332.7647010838104,223.87287048081257,6079.7612463935275,9.612920564641854,0.0,96.38473480388713,0.0,685.029201276551,0.0,0.0,0.0,0.0,0.0,03-12,05-11,88 days,148 days,88,148
8,9,4.576944501639416,0.0,8.47877424122702,4.523234392237709,7.36033467860245,1247.417978008715,386.7495064943115,1779.5232438106866,1295.0428523802593,159918.12097235816,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8712592117763949,0.37027183948516273,0.9378088923333083,0.9336833097560017,0.01945003882252848,74.94364249894741,54.17735266999807,123.4129949225727,67.17712241856329,305.09097878234456,219.591891455,65.89110492462903,332.7647010838104,226.821903631852,5596.604982810733,9.593663983298145,0.0,96.38473480388713,0.0,683.8656262849908,0.0,0.0,0.0,0.0,0.0,03-09,04-27,85 days,134 days,85,134
9,10,4.496308471551761,0.0,8.472610142665864,4.770603642332608,7.489462927158587,1231.049905677465,350.7073132490871,1778.7011754182188,1281.0188234494217,166058.8553203426,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8683770735298318,0.32284729094172504,0.9378088923333083,0.9329977702321932,0.021840382061761632,76.52624218162771,55.08004077404747,124.52046720290346,69.74701734323608,309.8001944097672,215.80930532687884,55.86261921816838,332.7647010838104,224.74809049547375,5849.585197990865,9.434918900188697,0.0,96.38473480388713,0.0,669.4796792200551,0.0,0.0,0.0,0.0,0.0,03-11,05-04,87 days,141 days,87,141
