,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,3.8438358599919895,0.0,8.184305408811293,3.3283274293790344,7.796751217628034,1130.8912869515786,109.33741957518801,1725.1243695433066,1180.8286744419524,188114.09254771957,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.854113230891723,0.14897207071640284,0.937807158361598,0.9284372221217134,0.03269182423289941,78.4797298931034,54.80864354877854,148.7426278726654,73.26667688557703,482.3256887331236,192.37406646943305,12.106576964781055,332.35505897647244,186.80621676613865,6596.428617579978,7.635976328580787,0.0,96.32120522407516,0.0,514.30448880218,0.0,0.0,0.0,0.0,0.0,02-15,04-21,62 days,128 days,62,128
1,2,3.8372479117077454,0.0,8.185880152097225,3.2924840975662812,7.842936081940821,1128.748695859587,136.1228341375583,1726.1227196672253,1210.393027071389,191721.88661248918,0.39794819199590803,0.03167035810668932,0.48,0.43679887205377177,0.01512599353801964,0.855292796448541,0.1929785986654988,0.937807158361598,0.9283792068061576,0.0317049104256468,79.36274327496908,55.27405565262198,151.86448411227363,73.26667688557703,587.2521684522958,191.46161518660986,15.81084795296268,332.425998071487,194.7918777040432,6864.295235422818,7.6004096857573105,0.0,96.32959747619077,0.0,513.2918762544268,0.0,0.0,0.0,0.0,0.0,02-05,04-19,52 days,126 days,52,126
2,3,3.834605259720397,0.0,8.185880152097225,3.2468010316181677,7.814773794757271,1128.4372242948104,110.22226131872316,1726.1227196672253,1186.1635410113768,190618.07338107022,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.8542670748295783,0.15394220390844054,0.937807158361598,0.9284372221217134,0.03295527822854904,75.73891468210358,55.04419792429651,143.91308000996835,73.26667688557703,327.6822825017235,191.61527874844495,12.377573674127913,332.425998071487,186.4388816403838,6756.048440772633,7.6293624577769945,0.0,95.99595530931563,0.0,512.3648315010454,0.0,0.0,0.0,0.0,0.0,02-11,04-19,58 days,126 days,58,126
3,4,3.83888196448967,0.0,8.185147065258729,3.3451218561322738,7.680626933429209,1129.6767038097073,110.94350614677126,1724.4613320201713,1182.2180136378706,187146.2064658939,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.852004187667987,0.1499063043194887,0.937807158361598,0.9284372221217134,0.034270015392087363,78.39608675227598,54.9253199425737,148.60779538519446,71.86039429070283,486.1821029979783,192.25280185643737,12.758400959485652,332.39295006088315,186.4464316368494,6541.319290854712,7.678106881292431,0.0,95.86098954396485,0.0,511.3806389060655,0.0,0.0,0.0,0.0,0.0,02-18,04-27,65 days,134 days,65,134
4,5,3.856154151618215,0.0,8.185963694143519,3.268904907119198,7.791081457096181,1133.115739008416,115.4623607648006,1724.6760338828803,1189.1228273135675,188429.30229926843,0.41443297312689537,0.03167035810668932,0.48,0.43679887205377177,0.008943831662309604,0.8515511017984553,0.15305821281000676,0.937807158361598,0.9284372221217134,0.03424060301022069,78.25398571438997,55.29762163146653,148.39976950370786,71.34145578591583,494.4946271022355,192.93522514878555,13.814882636399494,332.42971014159974,186.77094646895458,6573.7079308761195,7.538141869414407,0.0,95.61785348026334,0.0,503.375763736588,0.0,0.0,0.0,0.0,0.0,02-19,04-17,66 days,124 days,66,124
5,6,3.792314494740609,0.0,8.185724154055777,3.276364088192659,7.871121198316212,1122.8706854626391,111.11384559683717,1726.111800518773,1189.5907733304912,191817.65257644263,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.8549402681787727,0.15626930152580762,0.937807158361598,0.9284372221217134,0.032562504516369266,77.40999024074705,54.78807934347602,142.48829325436554,73.58313868418702,330.997992219417,190.23627980358643,12.44282683211442,332.41901893504723,186.89851922250517,6818.126536224157,7.745496488087951,0.0,95.91496986063676,0.0,517.0628485215989,0.0,0.0,0.0,0.0,0.0,02-10,04-30,57 days,137 days,57,137
6,7,3.8158882467715443,0.0,8.185803930897363,3.1055155401819747,7.791119829572599,1127.5748179174288,115.29247613827344,1726.1140956024499,1182.978516550923,189713.67270557408,0.41443297312689537,0.03167035810668932,0.48,0.43679887205377177,0.008943831662309604,0.8515511017984553,0.15305821281000676,0.937807158361598,0.9284372221217134,0.03424060301022069,78.88893119389719,54.9613342902763,147.2268523454797,71.51605431637302,478.7167836006447,191.68005066157295,13.773218783303609,332.4224955448586,186.2616514357949,6625.317576558213,7.69444371857159,0.0,95.61785348026334,0.0,510.7906614759482,0.0,0.0,0.0,0.0,0.0,02-19,04-29,66 days,136 days,66,136
7,8,3.8395312736529377,0.0,8.185963694143519,3.336737553826345,7.82051135048829,1129.8159836497257,136.0734541181742,1724.6760338828803,1210.5531083973747,191341.53550326376,0.39794819199590803,0.03167035810668932,0.48,0.43679887205377177,0.01512599353801964,0.855292796448541,0.1929785986654988,0.937807158361598,0.9283792068061576,0.0317049104256468,79.3195507842282,55.514994713681865,152.0395560600623,72.35794129986903,595.0725636849355,191.63016061808,15.7972440906684,332.42971014159974,194.47294374080016,6847.775839852053,7.599325827220095,0.0,96.32959747619077,0.0,513.2461442006694,0.0,0.0,0.0,0.0,0.0,02-05,04-17,52 days,124 days,52,124
8,9,3.811218684720207,0.0,8.185621711245066,3.346395215615739,7.7912352319416565,1125.6229472955235,111.11384559683717,1724.6275650788853,1188.1975018338064,190626.90485776702,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.8549402681787727,0.15626930152580762,0.937807158361598,0.9284372221217134,0.032562504516369266,76.88083064224354,55.03142916790169,142.64775286179676,72.96568711429235,333.9795305257179,190.96810486252022,12.44282683211442,332.4139961645566,187.8598423718836,6762.560169089837,7.770230191314369,0.0,95.91496986063676,0.0,518.319585691304,0.0,0.0,0.0,0.0,0.0,02-10,04-28,57 days,135 days,57,135
9,10,3.7936616042807363,0.0,8.185724154055777,3.165258616573815,7.839781702762306,1122.6825820034196,110.22226131872316,1726.111800518773,1182.0220227527027,191910.5685016618,0.4140362348735329,0.022545378279353052,0.48,0.43679887205377177,0.009264970176388075,0.8542670748295783,0.15394220390844054,0.937807158361598,0.9284372221217134,0.03295527822854904,76.57366936667239,54.788411941274724,143.12636228868004,73.58313868418702,320.1006501005845,190.20185540401394,12.377573674127913,332.41901893504723,184.91117680461508,6819.9596836939045,7.76343856248407,0.0,95.99595530931563,0.0,518.7278748202274,0.0,0.0,0.0,0.0,0.0,02-11,04-30,58 days,137 days,58,137
