Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,3.908960640714781,3.8807473665850756,3.9560651088108973,3.894808602518463,0.0006375910737350175,1263.835122202293,1261.828502707269,1268.7335045814586,1263.4025939978128,4.037500347799329,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0,0.9357254068213601,0.9350548124604475,0.9369444217409503,0.935669427096996,4.2004374760502413e-07,71.6752183773857,71.34551836457796,72.04970148440046,71.68024911051499,0.04228169298778991,217.44594562315467,216.83788452783043,218.08177177991263,217.593142925503,0.12475397835269851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.271414840943733,6.236636298301998,6.278019366903978,6.273551449250527,7.076408583768072e-05,1420.2923012898857,1414.958824861015,1421.6825294039365,1420.5187919860548,1.783163805608534,0.48,0.48,0.48,0.48,0.0,0.9376547745049415,0.9375895102370586,0.9377395658260702,0.9376440161151178,1.0243003058753946e-09,80.90446215138047,80.7409575447076,80.99060160592434,80.93550010393463,0.005912931368479633,269.5844575767891,268.02830476238097,269.89499578121695,269.69676092226007,0.13847846832179622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.5435132174373765,7.538914086787534,7.547023228522433,7.543615554723749,2.591464537214869e-06,1623.1237122561868,1622.6598579910521,1623.6579556068427,1623.125642509745,0.08660197746438443,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.9265963640185977,0.9265310533967696,0.9266406066764419,0.9266206043234269,2.4274955494836792e-09,61.02897894092884,61.021158227510924,61.05104156995807,61.02485631804777,5.5813791934890585e-05,283.8059477152099,283.6901266046715,283.9407564141528,283.82009307690186,0.005377728656463694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.1005300443312933,2.5270387439415907,3.5748226849235465,3.523807392019676,0.24717339762056256,1199.6324894154893,1186.370333588121,1207.4445723299411,1205.3330544309185,61.13226396660726,0.41848159380457095,0.4108781952860348,0.4540793232322631,0.4108781952860348,0.0001699611309772559,0.9280417064519465,0.9262414249527263,0.9313053040648875,0.9273821220929447,2.0020082938817083e-06,59.3034897065218,56.353652760949515,67.6304882658215,56.975015696134236,10.737013829688541,178.90225039248614,177.37509579137478,180.20108139285193,179.77285973404736,1.4114149318783793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.675640443132187,3.6179391389564617,3.6924204001742464,3.6776969390718306,0.00020952044472839272,1324.830350582721,1312.533016532724,1328.0935993402675,1326.0456016397686,13.612077976733415,0.48,0.48,0.48,0.48,0.0,0.9375587459664411,0.9373927188538261,0.9376427477179033,0.9375659308562365,1.5117041325688384e-09,61.998448146020856,61.92142146208811,62.1161512265543,61.986588162674444,0.0018749910803041454,218.36939208799885,214.64215233151918,218.6967532292988,218.63056287039836,0.6663666411690865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.193202308884084,8.193073657154605,8.193210142247032,8.193210142247032,7.317725285655842e-10,1706.9182995173344,1706.9172494737365,1706.918343269151,1706.918343269151,4.785553634173323e-08,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,61.22070791751763,61.15131282761415,61.342227863169974,61.18130170217572,0.006250025229102667,332.76468112986396,332.7642022351501,332.7647010838104,332.7647010838104,9.953999434839616e-09,60.509970639664886,59.25677978018351,61.71349010747556,60.7351067462095,0.2752636915964561,0.0,0.0,0.0,0.0,0.0
6,2.9719922166926303,2.8316712706866087,3.1015989179061862,2.973827659937457,0.0044259941891099455,1043.335560867099,1028.0704467817732,1064.0760512234767,1041.8782385666932,97.29887423925145,0.3755229253019199,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.8788934322650387,0.8690926682942898,0.8860638958297626,0.8818523998094211,4.198085897432182e-05,81.1600494661619,78.9525040128498,82.7625705029333,81.49403801828092,0.9960375946302246,190.0811393498751,187.03273318458835,193.05656179800235,189.77333654887698,2.8415985812222253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.763893446748789,4.58918048375901,4.873636465861745,4.814890501713627,0.009092668715042527,1409.4286915871148,1382.7687984208687,1426.4338685114221,1417.1712214657498,214.99000899819055,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9377366680707516,0.9376673231218312,0.9377465130023507,0.9377459043967166,3.184932409873848e-10,77.6234634101837,77.477807681978,77.99939230699415,77.5235070234909,0.0355189974735669,269.0861281328027,261.50168483045354,274.00375636896644,271.3169995805195,17.60222419550484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.6352298334946247,0.35432312050747333,0.9402830075145349,0.6464645164205823,0.026950674641151345,461.09584427919197,443.8562814409504,489.6327775879935,460.9470157239488,128.94999628369848,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.0,0.6740373335328933,0.670747173921683,0.6863114419464494,0.672213730531688,1.8718974238093545e-05,88.59932748014549,85.11409262889966,92.08661388473685,88.5589741699115,3.977728334439947,85.3465918638632,81.45339115353336,93.04371632716446,84.8512738729365,8.456885716944441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.932074982040094,0.43027866641208123,1.5367815790747925,0.8698472005191247,0.11666360540520317,827.4555762868662,808.7032366226719,846.6565491564614,826.6377422544901,123.35928284537404,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.7935196656792772,0.772836567349614,0.8057498741544408,0.7952596719718583,0.00011359216901635592,83.39015579146209,80.99320324887874,86.09934933706458,83.21166452473028,2.3497713684845207,145.20721175017619,142.52734491502702,148.0505029472801,145.3328397761743,2.4344463285159965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
