,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,5.023868839183578,0.840263485546774,8.613664258039334,4.962968144756775,5.348331880432468,1327.038807605201,590.1059412429896,1794.5087486289651,1403.9811349933677,107635.30390885286,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9126311357860832,0.7419802244044944,0.937807158361598,0.9345739414869658,0.0025647043413406802,70.9974237662285,55.71865307393639,108.37930842047282,67.35185811813092,163.0516134404594,234.00609586679232,91.4963010574408,332.7647010838104,239.87635313810512,4137.149385710058,11.839975697724878,0.0,126.3847348038871,0.0,1043.99799856824,0.0,0.0,0.0,0.0,0.0,01-23,03-30,39 days,106 days,39,106
1,2,4.766600848283725,0.018865120867664988,8.478790701586588,4.670171679134975,6.9837259900162,1317.5853769002692,552.8413785172992,1771.9002487951454,1399.333205379166,112338.70291518485,0.4294176224669981,0.3708626776031363,0.48,0.43679887205377177,0.001979969490766934,0.912614858758081,0.7419802244044944,0.937807158361598,0.9345739414869658,0.0025638551024686055,72.19609832601623,55.62176318929233,116.48520616597641,68.46419771105299,192.9038394462233,232.35155052333852,82.86092421295221,332.7647010838104,237.5270835205821,4342.393960977608,11.724322180360288,0.0,126.3847348038871,0.0,1014.3941609741796,0.0,0.0,0.0,0.0,0.0,01-23,04-10,39 days,117 days,39,117
2,3,4.847361807726578,0.2670128023844465,8.606389661792461,4.69208276746709,6.622399883344261,1323.7392641013007,550.7642612130138,1793.6048628171459,1411.0231508243455,111294.23908757478,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9113296807559885,0.703714310349267,0.937807158361598,0.9353086912367735,0.0030721429405093413,71.34692667911554,58.36557380710397,111.29137540078355,66.5758740677206,159.37711051150515,233.67802873648796,83.52549845221957,332.7647010838104,240.5595725670806,4296.005180990801,11.590952437469454,0.0,126.35647526219948,0.0,1003.5111808917164,0.0,0.0,0.0,0.0,0.0,01-15,04-04,31 days,111 days,31,111
3,4,4.833082181530805,0.08522730677434102,8.598425238265454,4.675811304812111,6.601964430480743,1322.9276840986972,566.836159881793,1792.3097109080447,1402.1260726693313,110380.54279423281,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9126159867309778,0.7419802244044944,0.937807158361598,0.9345739414869658,0.002563914332974764,71.35080041780763,55.619645393207875,110.98216394232728,68.4832179094497,166.19879288617085,233.5374021167745,86.59777867667228,332.7647010838104,239.83121509776413,4232.542577524134,11.549594798542007,0.0,126.3847348038871,0.0,999.6395332265924,0.0,0.0,0.0,0.0,0.0,01-23,04-05,39 days,112 days,39,112
4,5,5.117229160625937,1.3810293350964271,8.613664258039334,5.068384735749032,4.661589735605758,1328.9039015815026,580.0124160737339,1794.5087486289651,1404.205308890513,105832.31176538808,0.4294176224669981,0.3708626776031363,0.48,0.43679887205377177,0.001979969490766934,0.9126739350133941,0.723335081909322,0.937807158361598,0.9345739414869658,0.002694600245716486,70.70488226588715,57.49691881108996,111.60881304462228,67.42497384745388,165.23327493923196,234.09739642492775,89.03025875835903,332.7647010838104,239.95197654244686,4073.3269557521667,12.064225961659877,0.0,126.21033938529025,0.0,1077.7182233871363,0.0,0.0,0.0,0.0,0.0,01-20,03-27,36 days,103 days,36,103
5,6,4.836083147783998,0.017854384151788354,8.579949375238403,4.684723875913903,6.640281376471478,1321.8042068428094,550.1629685851503,1789.1606404786587,1400.237822454701,112011.71078899736,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9125661929899481,0.7341118986884526,0.937807158361598,0.9345739414869658,0.002618953608154279,71.57743462987858,56.19243201512437,115.03477976140623,68.11347767406032,180.05010295438086,233.28045063672494,83.09692860042304,332.7647010838104,239.77952178404053,4304.964478092785,11.57899085429659,0.0,126.38473480388711,0.0,1003.7167821473449,0.0,0.0,0.0,0.0,0.0,01-22,04-06,38 days,113 days,38,113
6,7,4.851352776074829,0.26806144249048,8.606389661792461,4.692083155868966,6.589058327646011,1324.114201267666,551.1863873518162,1793.6048628171459,1399.8143327407665,110535.5209837405,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9116036290398566,0.7049959351950167,0.937807158361598,0.9345739414869658,0.0030171177806208194,71.10393552491924,58.241218086386105,111.33481984149842,67.29175507961472,157.5220350318173,233.77090127781753,83.61260218400191,332.7647010838104,239.34119936556758,4277.060792508158,11.579142809030788,0.0,126.38510881732472,0.0,1002.6307155094454,0.0,0.0,0.0,0.0,0.0,01-17,04-04,33 days,111 days,33,111
7,8,5.072303248270929,0.7907210264153779,8.613664258039334,4.928645203059034,5.406170704230735,1331.1365536825863,556.0138089550932,1794.5087486289651,1418.7087435562478,109745.58036550482,0.42866629850271587,0.3708626776031363,0.48,0.43679887205377177,0.0019406370430765049,0.9117785787662626,0.7081484929501908,0.937807158361598,0.9351311545589772,0.002944613504107355,71.77617908211695,57.68512892739381,114.57652180367302,67.36608817917482,172.62212995567023,234.94736696405428,85.42797627188143,332.7647010838104,244.3839652709559,4245.837733806054,11.66401769350256,0.0,122.06275678036067,0.0,1002.1765661245564,0.0,0.0,0.0,0.0,0.0,01-08,03-30,24 days,106 days,24,106
8,9,4.840018826349164,0.24301265791734994,8.606389661792461,4.674754402933155,6.558309731026949,1322.9963437254885,559.3207774516932,1793.6048628171459,1403.660639151411,110385.5945826147,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9125663538952852,0.7341118986884526,0.937807158361598,0.9345739414869658,0.0026189620720168815,71.32014740713237,56.1955795150845,111.20600065435525,68.27669962464336,163.00468980132064,233.5831174307169,85.65140849954466,332.7647010838104,239.86479443117744,4241.675840745055,11.546041490019224,0.0,126.38473480388711,0.0,1001.0171148279951,0.0,0.0,0.0,0.0,0.0,01-22,04-04,38 days,111 days,38,111
9,10,4.850206408492079,0.02896358053722974,8.554741815456811,4.702352251020891,6.631090955805914,1321.6738676766115,538.5068244206357,1784.782057080715,1395.6376665627447,112496.63514602861,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.9123748977922842,0.7223821144315933,0.937807158361598,0.9345739414869658,0.002700921101058913,71.56121157129252,57.68740503159547,118.77051859467238,67.10858377904351,191.8507840979937,233.22010491785903,80.32030593590999,332.7647010838104,238.6403861338032,4359.288342906382,11.627330735789295,0.0,126.38614732745468,0.0,1006.751269689433,0.0,0.0,0.0,0.0,0.0,01-18,04-07,34 days,114 days,34,114
