,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,4.525591942628987,0.0051925859109764804,8.300866984557716,4.278123587475559,7.020989304580969,1268.641003683942,439.933308607232,1745.3742048793235,1343.6981862351709,128600.92665057817,0.42866629850271587,0.3708626776031363,0.48,0.43679887205377177,0.0019406370430765049,0.9034460935727509,0.6436162902086315,0.937807158361598,0.9294281670903898,0.004914498343358848,72.96780775136918,57.1741203894538,122.90920969162505,67.87469329462563,225.61084624880402,221.22825476880905,63.2759860773623,332.7647010838104,223.21321886475297,4876.544503333806,10.129587642413478,0.0,116.27391984916811,0.0,830.7524801984262,0.0,0.0,0.0,0.0,0.0,01-21,04-09,37 days,116 days,37,116
1,2,4.56346482215206,0.010784496743396658,8.407999068498718,4.277631155537774,6.967742610901081,1271.2124391403938,414.45545514417495,1760.114191085719,1355.2508260135955,133311.96911115528,0.4282906365205748,0.3708626776031363,0.48,0.43679887205377177,0.0019307082320442974,0.9000783844353456,0.5927084585741758,0.937807158361598,0.9335858675028902,0.006542524896452307,73.5327178214333,59.30923275698781,128.57383015504718,66.79474547041359,255.06681495177642,221.69880811157856,57.24180597595018,332.7647010838104,231.3772609392465,5042.280387780729,9.854909804397488,0.0,113.44374493586454,0.0,793.1088304551903,0.0,0.0,0.0,0.0,0.0,01-11,04-07,27 days,114 days,27,114
2,3,4.55724666210703,0.00625352119411443,8.448961904043385,4.313678350628948,6.875741684790658,1269.4144963421866,449.156462997074,1767.1073091745861,1337.7064152621463,128838.26358502333,0.42791497453843363,0.3708626776031363,0.48,0.4281586464645261,0.0019272710295540943,0.9039781404681709,0.6652655460693723,0.937807158361598,0.9306820260310623,0.004520057669232732,72.73261247233133,56.089781922986155,121.28913124442863,68.26526603879803,221.00296139021964,221.3514519562145,64.61590391742514,332.7647010838104,223.39740576649874,4867.233987179172,9.882935954486218,0.0,116.38473480388713,0.0,814.3599386411585,0.0,0.0,0.0,0.0,0.0,01-23,04-06,39 days,113 days,39,113
3,4,4.561616549660125,0.00478573750578984,8.359788306553737,4.367044088467744,6.915106539136588,1269.753522813321,431.4771929637514,1752.1509314102045,1349.285368711951,128931.04318759387,0.4282906365205748,0.3708626776031363,0.48,0.43679887205377177,0.0019307082320442974,0.9036551660642609,0.6376589511826283,0.937807158361598,0.9288769306135605,0.004972300997505421,72.83770075571171,57.516642393688755,124.775609513177,67.95136449312157,231.67048751312205,221.3461390747541,61.506369348386244,332.7647010838104,223.76445324542013,4894.911393384271,9.993614687424314,0.0,116.21033938529031,0.0,820.566994441269,0.0,0.0,0.0,0.0,0.0,01-20,04-08,36 days,115 days,36,115
4,5,4.5283808124423,0.006583155147876006,8.300866984557716,4.3140498722072,7.019578476592856,1268.1514162056071,439.65290971702035,1745.3742048793235,1343.6496420428273,128891.09393800999,0.42866629850271587,0.3708626776031363,0.48,0.43679887205377177,0.0019406370430765049,0.9035882225387913,0.6492423072915431,0.937807158361598,0.9299139382631497,0.004794452642487162,73.1363410351497,56.65446138660499,123.07578056794512,67.83589714755193,226.34970073258035,221.13777330512303,62.97992386754616,332.7647010838104,223.20631632745685,4895.671892158584,10.12248283783454,0.0,116.38473480388717,0.0,830.8710384773822,0.0,0.0,0.0,0.0,0.0,01-22,04-09,38 days,116 days,38,116
5,6,4.759448593371565,0.9538555671257307,8.536422330980368,4.2600423590398036,5.519740577604614,1274.751056198715,485.3384252950551,1782.1807235522149,1345.4744733553073,124895.6645015719,0.42791497453843363,0.3708626776031363,0.48,0.4281586464645261,0.0019272710295540943,0.9041236214026374,0.6652655460693723,0.937807158361598,0.9306820260310623,0.004524863667898688,72.22134303752372,56.34096067378535,115.52625799913187,69.18086847936091,209.24987918982825,221.67756587176768,71.71878009504906,332.7647010838104,223.5880134453104,4722.336677051212,10.039878521078927,0.0,116.38473480388713,0.0,844.0815122220556,0.0,0.0,0.0,0.0,0.0,01-23,03-27,39 days,103 days,39,103
6,7,4.772199036941695,0.9921403386931735,8.594594012166773,4.414054318193882,5.771649646271057,1277.8091011802396,447.38067884441637,1791.4544315868395,1356.747793672689,129784.08163530316,0.427565552883925,0.3708626776031363,0.48,0.4281586464645261,0.0019624856408413526,0.9008735292677955,0.6143262311033306,0.937807158361598,0.9335858675028902,0.005990948264536752,73.136602095901,57.045347796499236,122.05888717257041,67.33097706608932,238.29938236134166,222.53898689416576,65.40689098057575,332.7647010838104,231.53810729627853,4927.439638626805,9.778986775268516,0.0,112.06274310566062,0.0,799.2054408768894,0.0,0.0,0.0,0.0,0.0,01-08,03-28,24 days,104 days,24,104
7,8,4.532475033259725,0.012007275970640174,8.300866984557716,4.26479893631252,7.138771338160402,1268.0412898438633,424.6193385897196,1745.7451452191656,1355.4571046412498,132852.4539403627,0.42904196048485693,0.3708626776031363,0.48,0.43679887205377177,0.001957057462650717,0.899715465688068,0.6010947324991853,0.937807158361598,0.933075935854371,0.006380395951250392,73.8057418558171,59.460535083269384,126.22294785079555,68.84367233478964,245.3832810041975,221.05243733517509,59.34381616614069,332.7647010838104,231.22959210338928,5034.728826627367,10.057352425210693,0.0,114.2085789808243,0.0,812.5087684038876,0.0,0.0,0.0,0.0,0.0,01-12,04-10,28 days,117 days,28,117
8,9,4.575447710182977,0.18016645487624536,8.498589082733954,4.304627745826105,6.872677659224408,1273.3669642056739,430.2922255884893,1775.7176142625642,1356.2161967898421,131076.2533359907,0.42791497453843363,0.3708626776031363,0.48,0.4281586464645261,0.0019272710295540943,0.900079430652658,0.5927084585741758,0.937807158361598,0.9335858675028902,0.006542607200289019,72.8567775439635,59.303411298043486,120.30755994441311,66.7138198321397,215.6179684430695,222.18759904708168,61.68396343894264,332.7647010838104,231.5391270717642,4940.1416044176185,9.749377127240505,0.0,113.44374493586454,0.0,786.1818135342241,0.0,0.0,0.0,0.0,0.0,01-11,04-04,27 days,111 days,27,111
9,10,4.578055015818008,0.17637122068491512,8.578166390721103,4.306738974486226,6.947953152728919,1273.5862095768648,426.3546553791989,1789.0280723180385,1356.2159951869498,131606.29902526925,0.42791497453843363,0.3708626776031363,0.48,0.4281586464645261,0.0019272710295540943,0.9008302793567123,0.6143262311033306,0.937807158361598,0.9335858675028902,0.0059876400946358545,73.3182088676721,58.22031451538511,121.95486087195592,67.35962753568738,220.0290927376423,222.24532446433568,61.75216389121465,332.7647010838104,231.5391270717642,4974.299103837012,9.523135142498873,0.0,112.06274310566062,0.0,763.3584158330083,0.0,0.0,0.0,0.0,0.0,01-08,04-04,24 days,111 days,24,111
