,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,4.783413518675574,0.0,8.561613294034315,5.19396807558486,7.897886906272651,1279.0341885989476,296.3675243818068,1791.002116312626,1369.9737883415382,172865.7277093536,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747084069540844,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637380729386481,77.22695281286306,52.99068106091317,150.30557462079827,70.7607937379524,504.7546820000517,229.54737762341796,38.686490891464004,332.7647010838104,237.58168433968407,6300.390997678446,9.367519029263436,0.0,101.38473480388708,0.0,671.3369323983048,0.0,0.0,0.0,0.0,0.0,04-10,04-27,117 days,134 days,117,134
1,2,4.862069582016004,0.0,8.5604493149452,5.165828889252717,7.498474005608906,1277.8627986291153,295.59713706279126,1790.84479039917,1367.97066419293,173218.04260970114,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747097446570081,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016373983496233025,77.36179247014766,53.39165914345026,148.38388806258925,71.28406107569603,478.69241927358894,229.1829125799745,38.3772138628931,332.7647010838104,237.1201987648259,6302.156405604043,9.210976255559013,0.0,101.38473480388708,0.0,655.895607588728,0.0,0.0,0.0,0.0,0.0,04-07,04-30,114 days,137 days,114,137
2,3,4.979631007890719,0.4405448042043253,8.6110503470877,5.4572631734242325,6.500391562571303,1272.2542364127542,319.7942059543468,1794.3681571783557,1373.3225103215943,168375.97375186344,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747518015400593,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016379433878228412,76.93606523692144,53.53898791937943,128.587649078584,70.8193265919516,356.09087095568435,227.18532643160083,44.67942571495454,332.7647010838104,236.86983197696605,6103.5150474061775,8.915805232692355,0.0,101.38473480388708,0.0,633.4923332766682,0.0,0.0,0.0,0.0,0.0,03-31,05-06,107 days,143 days,107,143
3,4,4.867740129831912,0.0,8.556806236533657,5.484610961401507,7.466078325388966,1269.414744045518,294.3450557226613,1790.321887310421,1363.8522138455955,172987.58521824636,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747097446570081,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016373983496233025,77.5834343498299,53.80433808778139,142.5895735846025,71.37022225683317,424.113147373056,227.16568829571727,38.00016241606315,332.7647010838104,236.20626890595156,6266.500852800309,9.039465964764359,0.0,101.38473480388708,0.0,640.271975052859,0.0,0.0,0.0,0.0,0.0,04-07,05-04,114 days,141 days,114,141
4,5,4.9628754524407706,0.7953423107673792,8.611226804553345,5.089858612151412,6.049044308436109,1261.4163018903237,336.5538694303158,1794.3627367972047,1361.860899240017,171448.92848174748,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747903386407095,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01638446014022002,77.5723446182619,56.75710255519072,129.17448034306105,73.39256902009288,325.88722133778924,223.047853814825,48.48259863421704,332.7647010838104,231.79897763475554,6366.971095274214,9.38225729712839,0.0,101.38473480388708,0.0,681.5834308053293,0.0,0.0,0.0,0.0,0.0,03-28,05-14,104 days,151 days,104,151
5,6,4.85060517664198,0.0,8.558933646915914,5.102358098597965,7.46131629655008,1275.604187134716,295.3013033888092,1790.6319194956118,1365.0870281862406,172985.02294954096,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747097446570081,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016373983496233025,77.61873850656202,53.34989891512617,147.70203185655666,71.3255136816858,467.31714759346926,228.6730303903325,38.2868897946631,332.7647010838104,236.86834274149868,6283.508614676625,9.180793137120366,0.0,101.38473480388708,0.0,653.0479825761646,0.0,0.0,0.0,0.0,0.0,04-07,05-01,114 days,138 days,114,138
6,7,4.972978943499189,0.38953729352604066,8.610467802108154,5.297687833097468,6.7277060223568785,1290.0530295906237,310.10629051632816,1794.3627367972047,1382.0102603630173,167502.97355822247,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747403914418435,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016377950921976355,75.75372274580654,52.977882037649415,142.3123810560557,68.62611404821072,427.2247023868524,231.8566493486357,42.35942883656948,332.7647010838104,238.79879366807526,6028.103992071728,9.0079679124432,0.0,101.38473480388708,0.0,637.5739987509421,0.0,0.0,0.0,0.0,0.0,04-01,04-27,108 days,134 days,108,134
7,8,4.861588842333617,0.0,8.558192180213798,5.511855349316411,7.448253091050592,1268.9662874448272,295.366334076293,1790.5196744912641,1359.5894546444365,172158.2988196437,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747111770404337,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637417172331639,77.14608018716038,53.755059075706775,136.92185558435054,71.44518479484482,388.24389864385535,227.0378452848781,38.32726486345135,332.7647010838104,236.24265959962622,6225.093272575447,8.94923845231408,0.0,101.38473480388708,0.0,632.5959179189045,0.0,0.0,0.0,0.0,0.0,04-06,05-05,113 days,142 days,113,142
8,9,4.691364313510961,0.0,8.525491475183548,5.138115073538015,7.684102965693525,1251.8213994186337,294.1343434867626,1784.7968550191997,1348.2832474629024,175995.1144416762,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747084069540844,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637380729386481,78.315688625107,56.740004126971904,137.3260202067968,71.76087868066344,361.8596846740678,221.81942619842465,37.97850426964477,332.7647010838104,230.75905954216043,6574.612098389374,9.237135393606705,0.0,101.38473480388708,0.0,658.3974892360616,0.0,0.0,0.0,0.0,0.0,04-09,05-14,116 days,151 days,116,151
9,10,4.851955604812377,0.0,8.561426985617834,5.166788961373659,7.560245380489505,1280.9041217557951,296.5715491214846,1790.9729582102616,1369.5839615909674,172651.82410729642,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747091446725875,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637390445604251,76.94207712737106,53.245351716881736,148.79488637274508,70.92285389294595,490.8418888215718,229.86654975903213,38.71285871809141,332.7647010838104,237.8105628715178,6276.050571438618,9.257514960966983,0.0,101.38473480388708,0.0,660.3684220415921,0.0,0.0,0.0,0.0,0.0,04-08,04-28,115 days,135 days,115,135
10,11,4.905080671021847,0.2276132660757398,8.597238494466826,5.408363326728893,7.048467609195953,1267.8920907235517,296.8474605302175,1792.1397455364327,1376.4575768208629,170433.32404809177,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747242867147095,0.44893372392398506,0.937807158361598,0.9327577288850946,0.0163758670709889,77.204608223154,53.621408987064314,127.82695122088214,71.46552099877377,343.2901782428648,226.17046689743307,38.811491776283255,332.7647010838104,235.77631785858682,6217.691972164509,8.559080170520687,0.0,101.38473480388708,0.0,603.7142211740169,0.0,0.0,0.0,0.0,0.0,04-02,05-08,109 days,145 days,109,145
11,12,4.7885435492246495,0.0,8.561784794541813,5.232951033938549,7.890149793396165,1280.3566725674405,296.5327782234545,1791.026139822547,1372.6451619307466,172652.14627739406,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747084069540844,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637380729386481,77.19516097195635,52.82220502120216,148.98159743326866,70.64748680547177,496.6624666534071,229.79596689704226,38.73036513150524,332.7647010838104,237.7250704342505,6299.885112918875,9.400025285174262,0.0,101.38473480388708,0.0,674.6846795386349,0.0,0.0,0.0,0.0,0.0,04-10,04-26,117 days,133 days,117,133
12,13,4.854552657915741,0.21741683983472063,8.597238494466826,5.331105105340705,7.131443545784975,1262.19330340162,296.8474605302175,1792.1397455364327,1372.2300685587827,172801.28093373636,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747242867147095,0.44893372392398506,0.937807158361598,0.9327577288850946,0.0163758670709889,77.45938964339548,53.56860661945354,129.5557725660364,71.66770685938701,333.4545304410229,224.3175929464751,38.811491776283255,332.7647010838104,234.6273748058635,6391.838728829826,9.079110436569014,0.0,101.38473480388708,0.0,643.7631274299406,0.0,0.0,0.0,0.0,0.0,04-02,05-12,109 days,149 days,109,149
13,14,4.762677705569932,0.0,8.542764504833466,5.3542949488891765,7.52223911843879,1257.3251717318315,294.19191792165856,1787.8400858785724,1361.1212280392315,175405.98128781325,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747091446725875,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637390445604251,78.3423920181704,53.58060681848881,137.6988285495805,72.7394400963977,394.3919593383193,223.42569334515647,37.99595519721566,332.7647010838104,234.19911316333594,6524.817897069463,9.261738306071718,0.0,101.38473480388708,0.0,660.7792567472067,0.0,0.0,0.0,0.0,0.0,04-08,05-12,115 days,149 days,115,149
14,15,4.845702259317104,0.0692831136140372,8.542640213929127,5.438257691809991,7.390275149746614,1267.064093253626,296.8886103682826,1787.508145000347,1366.2812133856457,170868.48223108368,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747121462509341,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016374299108425416,77.26731969816571,53.53907726983724,129.39561232815646,71.466477735385,346.6134792863243,226.24377079809733,38.82423236679168,332.7647010838104,236.02973052918009,6207.073992305172,8.791808294099189,0.0,101.38473480388708,0.0,620.099373895192,0.0,0.0,0.0,0.0,0.0,04-05,05-07,112 days,144 days,112,144
15,16,4.997736122202408,0.5227253992636154,8.611224344117003,5.373265359845615,6.094399859358877,1266.5387162322463,330.3192128763454,1794.3627367972047,1375.3576554406172,170895.2945500422,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747740357764928,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016382340056245934,77.48583241600637,53.581898134693695,126.15540615226283,72.69498921568132,367.53209926268545,224.94421640925853,47.22182584482265,332.7647010838104,235.18474323001047,6317.210391313327,9.47863101807312,0.0,101.38473480388708,0.0,687.0275001363642,0.0,0.0,0.0,0.0,0.0,03-29,05-11,105 days,148 days,105,148
16,17,5.027057078696697,0.49642742797138045,8.611198331473538,5.35993799722434,6.209843643463383,1281.8882704366415,329.69789922474735,1794.3573164160537,1378.7069002494084,168770.02189341836,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747617010438039,0.44893372392398506,0.937807158361598,0.9327577288850946,0.016380725743824296,76.71819459746034,53.64173381880304,138.728904222316,71.15011413594007,422.93948153363687,229.70825672505046,47.046305053894386,332.7647010838104,237.85603642257206,6084.408049953214,9.280454744241498,0.0,101.38473480388708,0.0,666.5364509259151,0.0,0.0,0.0,0.0,0.0,03-30,05-02,106 days,139 days,106,139
17,18,4.891907488802952,0.2289992569271955,8.572257450645026,5.400044890406183,7.168046801427297,1268.389681633045,296.8474605302175,1787.6663360182495,1371.8110778120367,170073.49219658258,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8747131232673834,0.44893372392398506,0.937807158361598,0.9327577288850946,0.01637442750983027,76.91434476640113,53.54521934887412,126.83011517027225,70.76338692232277,336.2854776601009,226.46742979887404,38.811491776283255,332.7647010838104,236.2653990816356,6177.027098404739,8.752690725248709,0.0,101.38473480388708,0.0,617.1711211570746,0.0,0.0,0.0,0.0,0.0,04-03,05-07,110 days,144 days,110,144
