Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,3.017091604789724,2.9262719112546907,3.180654197657426,3.0187464252027514,0.007102603323176339,1209.5782994289086,1206.039202591209,1212.5598660036117,1209.2948012392778,2.7138826434634136,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0,0.9345848095769748,0.9341997587975347,0.9351395692001313,0.9342795741908007,1.523092693700217e-07,71.31662266063645,70.94769477253283,71.7623694687643,71.3139720665036,0.04890588627197256,204.12118095444782,203.79697389909657,204.7426873356638,204.07900410535865,0.07692458071548047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.9145738035990165,5.8788557920799756,5.9447754415738405,5.907630789650544,0.00037179616135080005,1361.523374511163,1357.8601227060367,1365.4464203466514,1362.358671413214,4.367738632402575,0.48,0.48,0.48,0.48,0.0,0.9372953154926194,0.9372819183359237,0.9373002298128679,0.9373002298128679,6.491377503926908e-11,82.23946331740188,81.85576514617742,82.31921238185986,82.29802653423364,0.01168602422711842,254.14370119493233,253.2211500382717,254.83952911966708,254.2896561977239,0.2678935065909041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.20337027231525,7.168309511894746,7.2395117074509985,7.208038293045818,0.0002578380055666308,1517.4908696043933,1511.2327879742018,1522.8599794645659,1518.105065846174,7.002076826982823,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.915666367713749,0.9155290954252276,0.9157045932097805,0.9156897936485372,2.489597054077607e-09,66.19119496631205,65.34439811761455,67.54713872520105,65.99359066252694,0.5348562876450255,265.03511927427877,263.2222446121694,265.8803864623078,265.2585332322788,0.6209618536462747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.738711357646859,2.469946572115644,3.0202056381036493,2.7689790218899297,0.03506465062301419,1122.5330420756834,1116.4239989571777,1130.0848871068497,1122.7249958515958,12.147934416601773,0.47965439097643014,0.47135977441075433,0.48,0.48,2.986139929322212e-06,0.9242184663422636,0.9239274244269007,0.9247798945261395,0.9242537364631093,6.711697205543063e-08,69.57830082856302,68.81475826837443,70.49447000487027,69.46143645545469,0.21555443013158915,160.47223155980282,159.09453103551684,161.74066446464647,160.64671397415552,0.564823845990753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.1208092876658315,2.957264836780949,3.336737553826345,3.1055155401819747,0.01762160390583195,1191.6764981968618,1172.6673352438265,1221.2891024234716,1182.978516550923,272.7036858180873,0.48,0.48,0.48,0.48,0.0,0.9355116518287481,0.9351725963591493,0.9361547321888379,0.9353667992421637,1.423154438425749e-07,65.75952575483375,63.39495010792791,68.00808065482467,65.90482258607534,1.932621810172595,187.76809371252833,183.69251740818476,194.7918777040432,186.1811808698388,16.76232651531239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.18525147243053,8.184305408811293,8.185963694143519,8.185621711245066,4.550888279805494e-07,1706.0003562975878,1705.887070956809,1706.085851500979,1706.0440918021256,0.006535376267484694,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,61.70364479281554,61.20923488075695,62.298266876945505,61.60394006868729,0.18614773467816567,332.39760860379533,332.35505897647244,332.42971014159974,332.4139961645566,0.0009217615751779602,50.366330928307335,49.2520819994205,50.72422346793836,50.63089264372476,0.3134423753606645,0.0,0.0,0.0,0.0,0.0
6,2.26913381786641,2.024291020712695,2.447421157119766,2.310968268360644,0.015336602926628981,921.2104093160332,879.984313062718,964.6926609069309,921.4908894254052,588.6660325197196,0.3755229253019199,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.8571919481893405,0.8531843344348824,0.8644040168599233,0.8556348378725894,1.466811075631612e-05,86.99582639630451,82.30922547987923,89.17236925612607,87.45705337075688,4.226305955106297,164.31420189996362,153.22426842651117,174.52942893376385,164.3081767583315,42.71267107480324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.462495585107447,4.415301260510586,4.476964936465973,4.469033333818808,0.0003381908424154903,1361.8361938692244,1360.0435433043724,1363.2802641737355,1362.1591147403467,0.943822244597626,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9376425319011247,0.9376373633586987,0.9376453596289531,0.9376443991955711,1.3253275543058989e-11,78.42247730067554,78.39442356462969,78.4574385704358,78.42651681486785,0.00027624229942558746,255.58107376704794,255.10876201800752,255.90864178375617,255.67904665677247,0.061361620963111936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2651614374087587,0.19782477612892876,0.32010353543084225,0.2699010012790611,0.0017449561915664448,463.9324994703946,441.06016679458315,479.0591568289048,465.4265529499725,74.1241989193279,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.0,0.7174312822543283,0.7021684172283722,0.7299724265697686,0.7164916854438291,6.653780581150224e-05,87.34871467787163,82.75879728518674,91.37625100878562,87.11131013432616,4.354296290611023,84.48953846735684,79.57214125104382,87.21502145837266,84.41767325119261,3.6530972978433947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.44818071527331066,0.3774978886140133,0.5126844657072133,0.4335237021411215,0.0026205229561352306,767.9905092364183,758.6140370863442,780.0478245584206,767.9619713626721,44.181194645871706,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.8069981326531847,0.797746600089549,0.8166851843970804,0.80770064819052,5.0080865069871756e-05,81.95915575855459,77.86977109377779,86.55092856421388,81.4326976136477,8.439799929373526,131.63153072933522,127.3161488665158,135.39977362150103,132.35338541497822,7.0674495785391045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.5201912714579,6.3977830436845355,6.628680990810258,6.473314607364396,0.008151664182801466,1475.7382251410083,1463.7591604599602,1489.2263158530213,1471.9846792734324,98.07420569325285,0.48,0.48,0.48,0.48,0.0,0.9373571386905798,0.9373394949820083,0.9373640615485895,0.9373638740266744,1.0935577496260081e-10,62.620309094538285,59.698146660521196,65.48706693382378,64.00602519004737,6.400349210678006,230.5430892970183,228.2523967690265,233.17759220456838,229.71442901920372,3.6846982190348534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8.08724335260325,8.085343123368629,8.089925095459995,8.087256548039305,2.1658553186728853e-06,1725.3133180734856,1724.4613320201713,1726.234272694879,1725.2675613992903,0.4908870820325118,0.48,0.48,0.48,0.48,0.0,0.937807158361598,0.937807158361598,0.937807158361598,0.937807158361598,0.0,63.298023088100024,63.13104506940392,63.550233729272975,63.243252089331946,0.012617367616972438,302.5677230017735,302.4046554764778,302.75406367625857,302.5608440577484,0.017618094365424757,96.09738552580467,95.61785348026334,96.32959747619077,96.03322395646369,0.05487427961076614,0.0,0.0,0.0,0.0,0.0
