,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
mean,4.368739310266436,1259.0014349691764,0.427565552883925,0.9167674571881161,71.2851237899249,214.93616330319384,12.338802183340754,0.0,01-14,02-13,summary_1
min,0.01212067676362965,536.8193500549964,0.3708626776031363,0.7172089569434899,56.57455114227638,76.0667825092363,0.0,0.0,01-14,02-13,summary_1
max,8.18315537848337,1710.6549870533804,0.48,0.937807158361598,111.11308644653694,332.3025578476312,136.38106710054953,0.0,01-14,02-13,summary_1
median,4.4382104471725174,1299.8234672057588,0.4281586464645261,0.9370332971534713,66.80112870212356,211.42554379870077,0.0,0.0,01-14,02-13,summary_1
var,6.802798886587249,106391.26608555108,0.0019624856408413526,0.0023613104471985145,162.11658279976757,4189.908017255448,1195.276701198651,0.0,01-14,02-13,summary_1
mean,4.4473946443185985,1273.086477137869,0.427565552883925,0.9084161531738512,71.11831074570031,219.4029328619188,11.307336767267383,0.0,01-14,03-05,summary_2
min,0.029038417139752692,553.7076598406835,0.3708626776031363,0.6503644749663967,56.338985356796634,82.32758139614332,0.0,0.0,01-14,03-05,summary_2
max,8.236044289382239,1745.3757095604428,0.48,0.9378088923333083,106.19071713149951,332.3025578476312,116.38106710054956,0.0,01-14,03-05,summary_2
median,4.443296476156165,1370.2587766440163,0.4281586464645261,0.9363141707151069,66.80054088777835,224.74754112728698,0.0,0.0,01-14,03-05,summary_2
var,7.133292814875663,114172.3614772121,0.0019624856408413526,0.004620575917694132,158.83523829014314,4404.874338749914,978.7955026363271,0.0,01-14,03-05,summary_2
mean,4.582722376736226,1273.2357054085157,0.42791497453843363,0.9013898654003292,72.37725428498814,222.0967985323157,9.877089535883025,0.0,01-14,04-04,summary_3
min,0.16887737453955837,438.34259999429275,0.3708626776031363,0.5982114485525976,59.357089648733705,63.13587813570152,0.0,0.0,01-14,04-04,summary_3
max,8.498589082733954,1775.7176142625642,0.48,0.937807158361598,118.88088216116041,332.7647010838104,116.38106710054956,0.0,01-14,04-04,summary_3
median,4.330680361469123,1356.2135595916372,0.4281586464645261,0.9321641886829354,66.71542360186321,229.31525730886764,0.0,0.0,01-14,04-04,summary_3
var,6.781111627148011,129420.72580327345,0.0019272710295540943,0.006077328682103395,207.7441773024607,4890.647012954499,814.2512165976009,0.0,01-14,04-04,summary_3
mean,4.4463665310969285,1257.3278319060817,0.4282906365205747,0.8896602554770645,72.73392162654602,219.48547136587004,9.87329601574381,0.0,02-13,04-04,summary_4
min,0.17466100011469787,360.2722447829755,0.3708626776031363,0.47625309482370576,53.5814344360103,53.29743712256926,0.0,0.0,02-13,04-04,summary_4
max,8.49857821849943,1775.7153441668954,0.48,0.937807158361598,129.27665121102163,332.7647010838104,116.3847348038871,0.0,02-13,04-04,summary_4
median,3.8606446610989242,1308.7677591374431,0.43679887205377177,0.9356569521787532,66.71417181183303,220.52644660302863,0.0,0.0,02-13,04-04,summary_4
var,7.3641919565766925,147214.41456861177,0.001930708232044297,0.011309371967284028,283.5316226960174,5313.658802008546,813.7789570729558,0.0,02-13,04-04,summary_4
mean,4.378946923194877,1236.6762697407473,0.4301689464312803,0.8896580810703142,75.45803018665002,215.2475869454738,10.342760306589673,0.0,02-13,04-24,summary_5
min,0.05439257829148925,341.32898037526434,0.3708626776031363,0.47625309482370576,53.35470864343957,48.20433680587995,0.0,0.0,02-13,04-24,summary_5
max,8.237895114990241,1746.099813214585,0.48,0.937807158361598,135.4539377797117,332.7647010838104,116.3847348038871,0.0,02-13,04-24,summary_5
