,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
median,2.8743177062961047,1069.8294732899178,0.42038918629263605,0.920345134719338,74.71659882233166,180.74645530258528,0.0,0.0,01-14,04-04,summary_3
var,7.379119242133524,217072.5748602853,0.01770157567490034,0.035806896434601165,357.9497916655604,7385.094275645913,387.75336873083234,0.0,01-14,04-04,summary_3
mean,3.540740005214115,1045.7626172615423,0.38534772110201443,0.8241466070579497,78.69058988269435,176.80140063009318,6.199373472404368,0.0,02-13,04-04,summary_4
min,0.0,96.3778499442025,0.020102728266669593,0.1935339976102592,55.62119078125158,10.003264484848115,0.0,0.0,02-13,04-04,summary_4
max,8.175471288047422,1713.3513010474185,0.48,0.937807158361598,146.70969655934553,331.99496356115054,86.52911666569335,0.0,02-13,04-04,summary_4
median,2.87406482745851,1069.1123921131657,0.42038918629263605,0.9202694053581076,73.47777887388405,180.72412956024021,0.0,0.0,02-13,04-04,summary_4
var,7.431128930721045,217582.34968563684,0.012614049684265029,0.04068492456453481,433.76094660547426,7320.144604105031,387.5469567581121,0.0,02-13,04-04,summary_4
mean,3.5245696515862495,1039.734165691916,0.38595225731542926,0.8241429319561644,79.49314879438212,175.54634758105084,6.341782252093246,0.0,02-13,04-24,summary_5
min,0.0,96.3778499442025,0.020102728266669593,0.1935339976102592,57.25831006423715,10.003264484848115,0.0,0.0,02-13,04-24,summary_5
max,8.17176435536128,1713.3646936795044,0.48,0.937807158361598,146.64403584853383,331.81363926903805,86.52911666569335,0.0,02-13,04-24,summary_5
median,2.757835088814097,1060.740921583856,0.42038918629263605,0.9202694053581076,74.17932485056717,178.59839235960703,0.0,0.0,02-13,04-24,summary_5
var,7.493309696354377,218249.16447869965,0.012491443008546215,0.04068405298204162,436.20882838596737,7356.950782108589,390.5656465604558,0.0,02-13,04-24,summary_5
mean,3.558162052353421,1045.039889106652,0.3711929409709596,0.8169792799501476,78.97527682701147,177.03410320168766,5.98586826143507,0.0,03-05,04-04,summary_6
min,0.0,94.37519723072909,0.0,0.1935339976102592,55.66099098305692,9.68150622865685,0.0,0.0,03-05,04-04,summary_6
max,8.175471288047422,1724.6746265279276,0.48,0.9378086112742589,137.5494002179512,331.99496356115054,81.52911666569337,0.0,03-05,04-04,summary_6
median,2.939135750911717,1065.5315301086785,0.42038918629263605,0.9197982483216117,73.81670592087909,181.7456945896221,0.0,0.0,03-05,04-04,summary_6
var,7.508094661274007,226321.3019580215,0.0189917796086741,0.04388180824552598,400.24710068148875,7600.894316814994,352.413656519458,0.0,03-05,04-04,summary_6
mean,3.504551307972368,1037.105949121167,0.3618094784477391,0.8169765755698828,79.18237817899171,175.30118810448909,6.117654326492752,0.0,03-05,05-04,summary_7
min,0.0,94.37350794619262,0.0,0.1935339976102592,56.677504259496224,9.681033561205524,0.0,0.0,03-05,05-04,summary_7
max,8.175318863241984,1725.2214287925244,0.48,0.9378086112742589,138.82348742838676,331.98777131033853,81.52911666569337,0.0,03-05,05-04,summary_7
median,2.9984593308051317,1052.9230335150964,0.42038918629263605,0.9197982483216117,76.96592639599561,179.85383366578893,0.0,0.0,03-05,05-04,summary_7
var,7.30282418253598,225693.39948666916,0.02288315854069246,0.043881126759422455,336.4101895716461,7592.368314863483,355.2331165715196,0.0,03-05,05-04,summary_7
mean,3.4411259327098067,1034.3949686901622,0.37328947089801134,0.8144528965366903,77.55786835290598,175.08403349354333,5.7037861966459,0.0,04-04,05-04,summary_8
min,0.0,94.26229177884144,0.0,0.1935339976102592,56.68449915856438,9.657714452320734,0.0,0.0,04-04,05-04,summary_8
max,8.1858559293255,1725.0925046184605,0.48,0.937807158361598,110.54438862141416,332.4249812263188,81.52911666569337,0.0,04-04,05-04,summary_8
median,3.1044822767725653,1041.4046350025612,0.42038918629263605,0.9188189065514792,75.05439256481891,180.7721108954559,0.0,0.0,04-04,05-04,summary_8
var,7.452466087306962,228008.0086832552,0.01875955483326073,0.04413868094351754,231.6246829693813,7683.324596813493,336.29237823553825,0.0,04-04,05-04,summary_8
