,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
mean,3.569441379643422,1052.2316229680685,0.3789406161855994,0.8381803442681133,80.07164278097095,176.94917742738727,6.834287379785195,0.0,01-14,02-13,summary_1
min,0.0,120.24462215072073,0.025268523278873477,0.23098591140437053,57.31733934732514,12.939608161909533,0.0,0.0,01-14,02-13,summary_1
max,8.155965961854937,1702.2091710437492,0.48,0.937807158361598,137.91696826797596,331.0735326626634,91.5240570694004,0.0,01-14,02-13,summary_1
median,2.636935397171528,1081.2137644704742,0.42038918629263605,0.9238667725170129,74.17968261248417,174.29841794162843,0.0,0.0,01-14,02-13,summary_1
var,7.279358826954089,205894.78387277824,0.016454585466523442,0.03242409590381434,471.26117006490927,6998.405545130134,446.3785692528216,0.0,01-14,02-13,summary_1
mean,3.596927200466466,1050.6737775503232,0.36201865535469685,0.8311311170101378,78.12406283556322,177.01220962415306,6.6207468079120835,0.0,01-14,03-05,summary_2
min,0.0,118.01420053556112,0.03167035810668932,0.23098591140437053,57.536053941024804,12.604011584426452,0.0,0.0,01-14,03-05,summary_2
max,8.155965961854937,1713.357501711289,0.48,0.9378086112742589,135.36390563222963,331.0735326626634,86.52405706940041,0.0,01-14,03-05,summary_2
median,2.825959621556223,1080.1838770650616,0.42038918629263605,0.9212963051694227,74.17992579863731,179.69170460819663,0.0,0.0,01-14,03-05,summary_2
var,7.329122395090703,214966.6194383323,0.02174168500955035,0.035414186721469794,338.7629550955509,7294.7234710737475,409.29805973725615,0.0,01-14,03-05,summary_2
mean,3.570891590083344,1048.8161145593103,0.37320965294535396,0.8286217142227118,79.43569791046893,177.05481725679815,6.200240730464351,0.0,01-14,04-04,summary_3
min,0.0,117.33670597161243,0.025268523278873477,0.23098591140437053,59.21073421855308,12.44633329039366,0.0,0.0,01-14,04-04,summary_3
max,8.175471288047422,1713.3513010474185,0.48,0.937807158361598,134.24325492092103,331.99496356115054,86.52405706940041,0.0,01-14,04-04,summary_3
