,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
mean,4.6270002286365575,1307.469601778044,0.42904196048485693,0.9256034300055935,69.75154606923935,225.93810019618232,16.110485436612763,0.0,01-14,02-13,summary_1
min,0.08887488314904346,674.9835079263763,0.3708626776031363,0.820618375987447,58.63244077596973,101.28461912130412,0.0,0.0,01-14,02-13,summary_1
max,8.317993082247359,1746.0924914248164,0.48,0.937807158361598,99.5880404542779,332.3025578476312,151.38106710054956,0.0,01-14,02-13,summary_1
median,4.966636769482127,1336.227791110912,0.43679887205377177,0.9374747727048816,66.36265955660485,225.18486015189885,0.0,0.0,01-14,02-13,summary_1
var,6.364857314709176,88361.23624583284,0.0019570574626507175,0.0007161043793619291,107.50761979386088,3608.562727654843,1486.3814330332634,0.0,01-14,02-13,summary_1
mean,4.743472325507049,1326.3771797937234,0.42904196048485693,0.9178611766199747,69.77090702491854,231.62252046564583,13.210632702152813,0.0,01-14,03-05,summary_2
min,0.5502085092478736,677.7975991996406,0.3708626776031363,0.7371761433412469,58.54715554158799,103.64992141549986,0.0,0.0,01-14,03-05,summary_2
max,8.31806837986498,1749.7991525395785,0.48,0.9378088923333083,98.93334514592644,332.3025578476312,129.08454456903615,0.0,01-14,03-05,summary_2
median,5.029964321202012,1382.0172073285944,0.43679887205377177,0.9367980905929968,66.36266271909221,235.6061296410661,0.0,0.0,01-14,03-05,summary_2
var,6.552762215723552,94948.78717207466,0.0019570574626507175,0.002320208767349681,117.00171539977784,3780.292556581953,1246.5129698580913,0.0,01-14,03-05,summary_2
mean,4.84343559910739,1324.3462445758526,0.42904196048485693,0.9116963902582553,71.2430896738332,233.83599024093928,11.59605416682138,0.0,01-14,04-04,summary_3
min,0.2596016643757598,551.9669879410251,0.3708626776031363,0.7067419963047631,58.548043039055734,83.7754900801389,0.0,0.0,01-14,04-04,summary_3
max,8.606389661792461,1793.6048628171459,0.48,0.937807158361598,111.22272976555041,332.7647010838104,126.38106710054953,0.0,01-14,04-04,summary_3
median,4.692083284952275,1411.025056728549,0.43679887205377177,0.9346081035373851,66.44102809535397,240.55824361317562,0.0,0.0,01-14,04-04,summary_3
var,6.698214900378204,111296.35785755632,0.0019570574626507175,0.003009699770210328,161.49016210819883,4296.279812984718,1003.8080279639835,0.0,01-14,04-04,summary_3
mean,4.771273964350942,1309.5930622697122,0.42941762246699805,0.9026740683556576,71.21313733370417,231.21452883466668,11.289919131439785,0.0,02-13,04-04,summary_4
min,0.17935541617469922,511.7604047398469,0.3708626776031363,0.634735372945235,52.77975157596399,79.85391082015153,0.0,0.0,02-13,04-04,summary_4
max,8.568702658855173,1787.3163905796746,0.48,0.937807158361598,115.68093397869062,332.7647010838104,126.3847348038871,0.0,02-13,04-04,summary_4
median,4.3863380676826305,1375.461873463765,0.43679887205377177,0.9363846310522057,66.4348752874008,237.85215415563576,0.0,0.0,02-13,04-04,summary_4
var,6.896680618777583,127340.91306249733,0.001979969490766934,0.005735941987950921,215.26161457204523,4704.3366495630125,1014.5277967613292,0.0,02-13,04-04,summary_4
mean,4.678292579823536,1284.0051822121554,0.4301689464312803,0.9026723411973947,73.95560743912138,225.87872518196187,11.746593431762163,0.0,02-13,04-24,summary_5
min,0.010279336587707218,488.30131032586945,0.3708626776031363,0.634735372945235,52.89667800263347,74.24352238947979,0.0,0.0,02-13,04-24,summary_5
max,8.305008091327544,1755.3613968308987,0.48,0.937807158361598,121.36836723305247,332.7647010838104,126.3847348038871,0.0,02-13,04-24,summary_5
median,5.253779304313401,1353.4195379140617,0.43679887205377177,0.9363846310522057,67.48746630372827,225.629638314192,0.0,0.0,02-13,04-24,summary_5
var,7.411605823203035,132830.6515787099,0.002045268372625383,0.005735815416773083,279.8456328834354,5007.123057723704,1058.7433296243305,0.0,02-13,04-24,summary_5
mean,4.857799264753742,1320.8504270416781,0.42941762246699805,0.8860811183516742,71.3769136616625,235.36810846787944,10.251323572947824,0.0,03-05,04-04,summary_6
min,0.16794820754002834,498.4744054502794,0.3708626776031363,0.5269169426472458,52.80081656314714,94.53818200062926,0.0,0.0,03-05,04-04,summary_6
max,8.568934169589221,1788.0519578940957,0.48,0.9378088923333083,107.71205103921162,332.7647010838104,104.08821227237371,0.0,03-05,04-04,summary_6
median,4.603239628299625,1391.1368435926004,0.43679887205377177,0.9346797384056289,66.43429273166512,237.26908094503742,0.0,0.0,03-05,04-04,summary_6
var,7.151353972889961,136721.36357559424,0.001979969490766934,0.012856830676855118,224.01573013001519,4839.206255012519,792.7938978757992,0.0,03-05,04-04,summary_6
mean,4.75782171037896,1277.1457779806308,0.4301689464312803,0.8860806086288562,74.75737077046783,225.50336033097514,10.684819569233492,0.0,03-05,05-04,summary_7
min,0.0,441.25784248918256,0.3708626776031363,0.5269169426472458,54.52638728441391,77.40920328776244,0.0,0.0,03-05,05-04,summary_7
max,8.535009842233789,1787.2540672334544,0.48,0.9378088923333083,112.5558444297048,332.7647010838104,104.08821227237371,0.0,03-05,05-04,summary_7
median,5.389311105557062,1317.16304571015,0.43679887205377177,0.9346797384056289,68.9783929707498,229.51722377799223,0.0,0.0,03-05,05-04,summary_7
var,7.621861476685044,146222.75219924148,0.002045268372625383,0.012856775698426658,255.0259800383549,5315.800747589314,835.4696255090956,0.0,03-05,05-04,summary_7
mean,4.882703361647484,1272.4197053559294,0.4301689464312803,0.8747128675772015,76.89031825167781,227.79742170087897,8.93053737114441,0.0,04-04,05-04,summary_8
min,0.21889132953999588,296.93009110988805,0.3708626776031363,0.44893372392398506,53.79797386494583,38.83444302382238,0.0,0.0,04-04,05-04,summary_8
max,8.568702658855173,1790.2874907282214,0.48,0.937807158361598,133.5272709306148,332.7647010838104,101.38473480388708,0.0,04-04,05-04,summary_8
median,5.414897262844839,1373.0488323147188,0.43679887205377177,0.9327577288850946,71.29765633506976,236.60164523647634,0.0,0.0,04-04,05-04,summary_8
var,7.362958064705444,171264.8657812281,0.002045268372625383,0.01637439390855075,360.60795463968003,6169.493393886099,631.0517863850824,0.0,04-04,05-04,summary_8
