Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,3.495282737314484,3.241623595770439,3.7314562027908176,3.7291070779339406,0.06182927864695383,1244.8163643777636,1220.5586421062399,1267.2248652157245,1267.1319526085265,564.0715596123595,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0,0.9366994202708848,0.9364266939188068,0.9369657264779931,0.9368863455762905,6.282919785714705e-08,72.13910795167274,71.14737173937094,74.56118521990875,71.66222967282933,1.15139934246809,212.9227332887831,206.48670134649635,218.86658675199993,218.84965107571563,39.75789738658423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.0017343661162155,5.891183730638995,6.031774279999778,6.0269278114747715,0.0023633654716183378,1380.6647247545613,1364.9433762762485,1385.202330136263,1383.998547635813,45.38527386301499,0.48,0.48,0.48,0.48,0.0,0.9376789183385386,0.9375895102370586,0.9376995273557096,0.9376974846663979,1.3877817572183375e-09,81.31890717975173,81.15642351318307,81.4852141085612,81.32320412633811,0.00955892193955637,258.62013025434254,254.1829417716368,259.87866141016843,259.5813885713804,3.6634457062822996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.224004063122549,7.202776293467064,7.253733637220306,7.218513739788597,0.00022160009710997874,1588.8583373374577,1573.0655474232437,1617.9770129363878,1573.6612720477303,384.3080245238976,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.9300952263840585,0.9265345794787635,0.9365659928122206,0.9266405811499405,2.0019383606542882e-05,61.71143331094605,60.79847836022343,64.39680408977969,61.22614070396334,1.1693940622856729,271.81819085403237,270.0376388850253,275.073969399212,270.2256793369964,4.455960000112503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.6825671419987045,3.50301129838036,3.942420060515785,3.5796449384864895,0.02732100797770892,1203.8527919293692,1194.8661464184706,1207.5604037954838,1206.273252668677,17.820452364095598,0.4094957591917555,0.4022379696967892,0.4108781952860348,0.4108781952860348,1.045148975262758e-05,0.9355043684087795,0.9332312664291109,0.9368582248534301,0.9360151868684008,1.1291792940256543e-06,56.919101953572316,55.931994177414445,58.276092260827,56.83312887913366,0.4708009630835252,179.06121572913733,176.83696265780756,180.14436121979756,179.6126469892392,1.183545697089957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.690749049370698,3.6193405608011724,3.7225768387580014,3.6933428010977254,0.0008881083846212554,1310.8688495371132,1295.064045585051,1316.7111606444062,1311.8786143046702,39.87316315568,0.48,0.48,0.48,0.48,0.0,0.93768061249545,0.9376177287275049,0.9376947818493852,0.9376878169980098,5.740875007915601e-10,63.16785188540893,61.98838687076111,64.52889721935317,62.80922157888589,1.022745756209654,214.68767308012707,210.86887458141246,216.12407829523704,214.9160011603874,2.3596405493233705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.177818674446282,8.17780826323139,8.177856827163426,8.177811035209137,2.4091114099611107e-10,1705.1712056760236,1705.1700009572617,1705.1758418596223,1705.1702525298938,3.584751728283887e-06,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,61.23709093984689,61.2250751100426,61.36691628885529,61.225660788291485,0.0013052372136205918,332.09669418128965,332.096264115305,332.09830991014707,332.0963573375323,4.450878939785193e-07,75.5095793421229,74.67550819307337,75.81019546429316,75.55374528603573,0.07495137110804602,0.0,0.0,0.0,0.0,0.0
6,3.090618359573647,2.894902615074197,3.2139138136170162,3.1334011773594024,0.013376290541670402,1073.106649815607,1062.6885581904883,1086.2352784393638,1073.2535664351387,61.204695799313065,0.3755229253019199,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.9123685708571578,0.9008225901573578,0.9260452631035974,0.9141410478888278,7.340785645292628e-05,79.65520656199577,77.26448097735147,81.6342541940107,80.05533923492027,1.8972504603548141,192.68662485061725,189.31447204145832,196.89314407253505,193.05761636396014,3.6985194418776115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.962572076957856,4.824622948306115,5.0620716134090555,4.996023164257563,0.007787344291532747,1412.7713971114788,1383.8112667440357,1432.6575928810903,1419.3541826186497,327.9510484058757,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9377339545132043,0.9377066079600903,0.9377452329375849,0.9377410794166905,2.01141540866791e-10,79.0759285184583,77.55019224189677,82.16420083775317,78.5232446141774,2.333136096150162,270.6260417465767,262.4406169560641,276.3251328847517,272.50183314061195,26.565875236425452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.33549586861392505,0.2641490817161573,0.5563258997921362,0.3490866836830264,0.0038122491857071287,545.5591105583437,506.7868799330943,582.2759542476381,551.6728029152841,638.5047041587969,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.0,0.7605619914183397,0.731153569608249,0.7821083760655996,0.7687341117083252,0.0003259994002880509,81.00839588195903,77.62906493256993,86.34115640765486,79.58825491497429,8.891997779087603,92.42606065875762,86.32313358547728,100.00473064886258,92.56965116858402,19.373294533965645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4762377777342957,0.4647739946160063,0.4868992999377733,0.4749041641344188,2.697963787260794e-05,873.9442204446411,851.1661970000594,895.7427496229465,879.478682145785,236.16104678355967,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.8716531809021453,0.8483324467887075,0.8911061345487077,0.8713138839763748,0.00016908765479474488,77.97275717780471,72.92503226314778,83.71206493766968,76.06435911509561,15.086520176872115,150.4469659396665,144.65575365933947,155.51792950953416,152.33618945167171,15.236684895162805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
