,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
mean,4.168047243166399,1209.7584136989897,0.4261153856106255,0.8998899346599317,73.17359738101,204.8110298122403,10.287421109964304,0.0,01-14,02-13,summary_1
min,0.024203824033990063,339.86359872259885,0.359449529194523,0.5163115256025809,56.597527935604404,45.47985930551797,0.0,0.0,01-14,02-13,summary_1
max,8.177811035209137,1705.1702525298938,0.48,0.937807158361598,128.83913538624807,332.0963573375323,121.32575969510059,0.0,01-14,02-13,summary_1
median,3.882364538400879,1267.2093937952095,0.42038918629263605,0.9346825963690563,68.08594691968476,204.8660114322907,0.0,0.0,01-14,02-13,summary_1
var,6.916351518407836,131841.15700898244,0.00206071769008898,0.008397701300335963,253.38339035885565,4915.601075828043,890.2128510241754,0.0,01-14,02-13,summary_1
mean,4.25367765412541,1217.782720805848,0.4261153856106255,0.8901689872931139,72.96175640427528,207.80588629624472,9.59396054899908,0.0,01-14,03-05,summary_2
min,0.0,372.0151630528099,0.359449529194523,0.43348926784697633,56.367407870963724,56.084596506138894,0.0,0.0,01-14,03-05,summary_2
max,8.177811035209137,1734.9877377425203,0.48,0.9378088923333083,119.51388863513857,332.0963573375323,106.3257596951006,0.0,01-14,03-05,summary_2
median,3.9313365145646566,1271.7760043736146,0.42038918629263605,0.9347541893824989,68.08525735411227,214.91897896744123,0.0,0.0,01-14,03-05,summary_2
var,7.117082409907369,139784.6602020819,0.00206071769008898,0.012850818925537131,226.2129176894199,5150.57379761505,742.9403066818396,0.0,01-14,03-05,summary_2
mean,4.255665343910045,1215.1351420782357,0.4271636505741514,0.8822452573091266,74.20690181070036,209.36692380231347,8.474085345909977,0.0,01-14,04-04,summary_3
min,0.1283533139462707,260.43896874128825,0.3708626776031363,0.3777961384896026,59.99084723448586,32.73140725002964,0.0,0.0,01-14,04-04,summary_3
max,8.389046404525052,1753.146099390164,0.48,0.937807158361598,135.814949047256,332.7647010838104,106.3257596951006,0.0,01-14,04-04,summary_3
median,4.049169847351368,1310.307895509472,0.42038918629263605,0.9304371683687469,69.76241254439533,214.7362288930795,0.0,0.0,01-14,04-04,summary_3
var,7.158510190457995,154882.9621495559,0.001939871450199703,0.015465422434426567,302.52098166083687,5659.246841783285,641.9339420241126,0.0,01-14,04-04,summary_3
mean,4.173813751377313,1205.542627144096,0.4115902855700432,0.8716928425075097,74.40310856860475,208.00016421865743,8.502575488036397,0.0,02-13,04-04,summary_4
min,0.051623193486363725,173.27751936755655,0.03541034901305288,0.22102361593989106,53.823448520248846,21.204111741083018,0.0,0.0,02-13,04-04,summary_4
max,8.370053584336603,1750.086546954331,0.48,0.937807158361598,149.08826353477247,332.7647010838104,106.32942739843818,0.0,02-13,04-04,summary_4
median,3.715127100535366,1268.003127711158,0.42038918629263605,0.9329249221160227,68.41463213956084,203.83396732114642,0.0,0.0,02-13,04-04,summary_4
var,7.5491966578107625,168904.1887962019,0.00861104400308237,0.02438370056877417,408.0303251676851,5949.559025058133,642.8565071236226,0.0,02-13,04-04,summary_4
mean,4.13694635628502,1189.8485529946256,0.414595581427172,0.8716898332090864,76.82937342046854,204.94469293973142,8.891706323980195,0.0,02-13,04-24,summary_5
min,0.04716611625434597,171.7456559663882,0.03541034901305288,0.22102361593989106,53.65893055101292,20.792225167286325,0.0,0.0,02-13,04-24,summary_5
max,8.193113195964024,1736.5183128286212,0.48,0.937807158361598,153.27743620874304,332.7647010838104,106.32942739843818,0.0,02-13,04-24,summary_5
median,3.6145639642024046,1243.73903380067,0.43679887205377177,0.9329249221160227,70.64824545694884,200.90363564370494,0.0,0.0,02-13,04-24,summary_5
var,7.713622420121883,171955.27817747978,0.00881430084319471,0.02438328525900724,465.01107145947003,6140.365631413096,662.618800836472,0.0,02-13,04-24,summary_5
mean,4.245317656660028,1205.273372161532,0.42566100264558693,0.8570949030466598,75.35742859667783,209.14082693766736,7.80889512553727,0.0,03-05,04-04,summary_6
min,0.09635516894479712,154.45945871892644,0.35903684175056094,0.17448512415576234,53.858011802412776,20.64853018804973,0.0,0.0,03-05,04-04,summary_6
max,8.370436992527141,1764.0815100759369,0.48,0.9378088923333083,150.55209217542614,332.7647010838104,91.3294273984382,0.0,03-05,04-04,summary_6
median,3.937641484409264,1268.6628216157585,0.42038918629263605,0.9283756341385809,68.2853747255286,217.4573859972722,0.0,0.0,03-05,04-04,summary_6
var,7.605449790048308,184438.59121001267,0.0020972650472553815,0.031478057385311016,469.78046789320564,6411.116316622057,514.7280265874041,0.0,03-05,04-04,summary_6
mean,4.184151839649568,1178.0871465842258,0.4282906365205747,0.8570937276214403,78.50292400706066,203.37457276920324,8.148438337889962,0.0,03-05,05-04,summary_7
min,0.0,143.25501392391845,0.3503966161613153,0.17448512415576234,55.11535174368248,17.507864111986226,0.0,0.0,03-05,05-04,summary_7
