,run,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var,date_1,date_2,irrig_1,irrig_2,irrigation_1,irrigation_2
0,1,4.729615886935892,0.0,8.479243120030002,5.305722984221106,7.648493960525676,1286.6997043515198,458.3487395675517,1779.5929806634786,1311.5345030449162,144150.7757260033,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8890526438612563,0.5496404592107882,0.9378088923333083,0.9346957188954554,0.01206060781283611,74.35539291476425,54.02246116507827,117.55315814804548,67.78847574778389,304.34449924743785,227.75787715479382,81.58753135065864,332.7647010838104,231.01982461054226,5171.672065178828,11.247536730553295,0.0,111.25638858499414,0.0,928.6531774364405,0.0,0.0,0.0,0.0,0.0,03-02,04-29,78 days,136 days,78,136
1,2,4.693466143171948,0.0,8.435266461924654,5.267001557816098,7.564076986806691,1266.9676732396467,435.9482396006989,1773.7752482208912,1292.0712610996122,147197.9265981899,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8894910953450025,0.5406705332540417,0.9378088923333083,0.9349525780789848,0.012192550271715634,75.43118398955217,54.10352939371502,116.65174232614476,69.58261643900533,272.2478543630073,222.77898954211486,70.75080682390772,332.7647010838104,228.06561775641836,5344.457524927399,11.018988436131757,0.0,112.46801848666473,0.0,909.2532409795181,0.0,0.0,0.0,0.0,0.0,03-01,05-06,77 days,143 days,77,143
2,3,4.6796801386877105,0.0,8.489487845438918,5.230909802488591,7.552121449888662,1263.8341778504325,419.8112926374354,1780.138472320986,1307.6339242822748,149054.18484763592,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8870421742919212,0.5332554100638585,0.9378088923333083,0.9346913554861517,0.012619397115859389,75.80027332819783,54.246153814614786,118.02621386100856,71.79907949324897,260.7590355873027,221.42233036074254,72.74776189026491,332.7647010838104,228.34967182364247,5581.155505361415,11.035851863864721,0.0,107.05577822610682,0.0,887.0056648783216,0.0,0.0,0.0,0.0,0.0,03-04,05-11,80 days,148 days,80,148
3,4,4.74488743560219,0.0,8.512389311340272,5.346280796647422,7.595477036032904,1274.462911119375,438.8513111544751,1784.081610720707,1316.726709443377,146219.93540053914,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8870421742919212,0.5332554100638585,0.9378088923333083,0.9346913554861517,0.012619397115859389,74.69774036866217,54.35011886784552,113.73302956935554,69.33346689698045,257.08856263136937,224.7353051930366,75.22412531540213,332.7647010838104,228.9729493392532,5322.812527561278,10.787188910550679,0.0,107.05577822610682,0.0,859.3766354069514,0.0,0.0,0.0,0.0,0.0,03-04,05-05,80 days,142 days,80,142
4,5,4.6879544415414145,0.0,8.440343643159814,5.218262674744625,7.555531240712625,1273.5414661626478,448.3852957276614,1774.3462303401484,1296.5543356907178,147712.0170328033,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8897410040717554,0.5288359733888487,0.9378088923333083,0.9351689023981955,0.012411829045001304,75.3232624824594,54.299209335794714,120.81603752555439,68.60828098834979,322.9891990293278,224.66883096041144,73.92781361691934,332.7647010838104,230.11472095825337,5316.036630446546,11.326372611571895,0.0,114.40095759536582,0.0,951.3885304602888,0.0,0.0,0.0,0.0,0.0,02-28,05-02,75 days,139 days,75,139
5,6,4.74649355062435,0.0,8.536759428367365,5.3741255296519626,7.609954762424278,1274.785409200196,438.74111240210465,1787.502988569656,1317.16304571015,146446.36146858253,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8860806086288562,0.5269169426472458,0.9378088923333083,0.9346797384056289,0.01285677569842666,74.63990866918286,54.35011886784552,112.863440810761,69.34551171114961,251.12478138020913,224.88234768170153,75.81093291583616,332.7647010838104,228.96905662272428,5342.293531405461,10.626210620310514,0.0,104.08821227237371,0.0,829.1944886380678,0.0,0.0,0.0,0.0,0.0,03-05,05-05,81 days,142 days,81,142
6,7,4.756109451683909,0.0,8.479919336396332,5.298879913698782,7.5663857904390115,1292.4527794329413,471.5094770979414,1779.6826978570189,1313.536686723361,141918.1569475312,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8890526438612563,0.5496404592107882,0.9378088923333083,0.9346957188954554,0.01206060781283611,73.80654853674565,53.377731637233246,117.31841039813979,66.54183125426161,292.4213833517352,229.1987950257811,84.94038316534989,332.7647010838104,231.865277409174,5064.207655889481,11.237246804541158,0.0,111.25638858499414,0.0,927.458420523166,0.0,0.0,0.0,0.0,0.0,03-02,04-26,78 days,133 days,78,133
7,8,4.601940319927722,0.0,8.415022751791136,5.056840752101391,7.566796701878098,1255.4477598340745,417.7737851894101,1767.835947628033,1288.536677885236,149697.14322589838,0.42980393866406674,0.36246749895722374,0.48,0.43679887205377177,0.0020935951072778122,0.8890526438612563,0.5496404592107882,0.9378088923333083,0.9346957188954554,0.01206060781283611,75.94564753326569,57.42480611789466,115.1013385215006,73.18428677207845,224.5402203383108,218.7893465703805,71.13191707404779,332.7647010838104,226.3763539867534,5599.031738772349,11.079921734778845,0.0,111.25638858499414,0.0,909.7980154036867,0.0,0.0,0.0,0.0,0.0,03-02,05-14,78 days,151 days,78,151
8,9,4.732057751439155,0.0,8.467324345600224,5.262979945429344,7.602555159801252,1286.8292450394536,461.24561237428264,1778.0040125519456,1310.827681573438,144547.13562327527,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8894910953450025,0.5406705332540417,0.9378088923333083,0.9349525780789848,0.012192550271715634,74.23279513897157,53.9168352957573,118.95310826145572,66.48058302573877,316.70855298581154,227.82082637089167,80.5398076467157,332.7647010838104,231.6527163794546,5157.520999905299,11.310307859050265,0.0,112.46801848666473,0.0,941.1697412717309,0.0,0.0,0.0,0.0,0.0,03-01,04-28,77 days,135 days,77,135
9,10,4.72038391541005,0.0,8.54028465385462,5.347912953377456,7.5587757482511195,1268.5433910676225,428.7026608619457,1788.0057282474927,1315.198485843228,148096.1347517533,0.43016894643128034,0.3708626776031363,0.48,0.43679887205377177,0.002045268372625383,0.8843633165779131,0.5258589771100803,0.9378088923333083,0.9346660942953483,0.013107606028396461,75.50464943774583,54.16272197327614,115.23794937349334,70.45624424826202,247.85139920658796,223.20079454362156,75.83140111103302,332.7647010838104,228.5517770302419,5455.27209769696,10.313793468795298,0.0,101.38473480388708,0.0,790.4381261501559,0.0,0.0,0.0,0.0,0.0,03-07,05-08,83 days,145 days,83,145
