Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,2.981645625548035,2.9114559592068807,3.0685473144292676,2.95879932696289,0.002693012269394114,1211.2219149679293,1208.2458712297043,1216.170057848272,1211.3674424142964,3.4766291241823577,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0,0.9344873413911303,0.9340247135979393,0.9359533062231611,0.9341997587975347,3.699938880437599e-07,71.22124134958838,70.83926897525626,71.66546501037848,71.1986937949381,0.04435331833912018,204.07432946689588,203.81663499066792,204.42144800704094,204.12646998754633,0.04049399165490635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.924612482065278,5.913303984823313,5.935055021136785,5.925374686758064,3.611558714624479e-05,1370.688978454259,1369.0027355357095,1372.8015493588528,1370.422715808433,1.3543862304816834,0.48,0.48,0.48,0.48,0.0,0.9373914670834076,0.9373580310274306,0.9375518487077896,0.9373631509753644,3.5250365213628647e-09,81.49720795863041,81.28262486896375,81.63088463940576,81.50693046379786,0.00903347203389751,255.66411886246763,255.32710814475408,256.13832052566585,255.61425550652885,0.04700894003996122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.233630565784394,7.228887023470921,7.245471219057576,7.232194023820826,1.7633071397968787e-05,1529.8003836431517,1529.1179832295243,1530.8960291489486,1529.5067749823938,0.36477939984637614,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.9151575527804734,0.9150818010837823,0.915209278813684,0.9151861877511935,3.3503899994059876e-09,65.1188404994376,65.10558551199328,65.20730919317643,65.10918974329219,0.0004506123270219364,267.8495322455169,267.6471757212908,268.1373740664379,267.8332615763731,0.011366551626874376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.697995857114512,2.1072325543955754,3.2248418169759376,3.094070657280722,0.2466943213654232,1133.9457495926051,1118.2033453959718,1147.5602806786046,1137.0854857965353,79.08493794493033,0.4029291877439289,0.3849575185182979,0.43679887205377177,0.39359774410754356,0.0002794529283857365,0.9169432351352111,0.9129012535012682,0.9227032269165529,0.9162372793724352,1.4463279269964618e-05,59.71115937840263,56.56973258116571,65.62999808265305,57.78422281514449,8.08708757481642,163.3042142800343,161.4386684405216,164.98727258913092,163.97353908239754,1.5772763307530442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.196822583012608,3.149042206864729,3.2396437387976325,3.2127967367198194,0.0008953440795025285,1245.6021322329836,1241.611568260734,1248.502926991603,1246.2237803235428,4.719887449583582,0.48,0.48,0.48,0.48,0.0,0.9368476237231742,0.9367903407161108,0.9371987671244936,0.9368275058398747,6.773232959025293e-09,62.6723876018677,62.51642731381902,62.90881455141467,62.619902970886365,0.01473417172639098,198.61592627770003,198.24017335221598,198.80910634593684,198.64580637498798,0.024018290624964387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.18595042290571,8.185835698171378,8.186023398631699,8.185958372283539,3.7813386674853934e-09,1706.0843968454078,1706.0709850404753,1706.0929544666035,1706.0852893316214,5.239899613354178e-05,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,61.238377635468886,61.168152655528345,61.357049474155644,61.20592156166185,0.004908820075887113,332.4291815186617,332.4241986904131,332.4323385526945,332.4295274791243,7.2964668417194705e-06,50.73692866108364,50.38685566831251,50.798554980052316,50.79334058138827,0.015008270241698424,0.0,0.0,0.0,0.0,0.0
6,2.4260858622565804,2.2939580203340775,2.537909304756493,2.43202990106155,0.004165527623039575,940.444264886656,923.359967136418,963.3883993610597,938.8517417773036,155.22588919436683,0.3755229253019199,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.8514484238957634,0.8455584329278857,0.8593690492674291,0.8513209207522718,1.6302696163880053e-05,86.2986164830328,84.02168420577985,88.50295810775967,86.6196471573283,1.7658736133638753,169.27569290556625,165.3696627812581,173.69417462943144,168.3394840479898,7.460868218786886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.599650387912822,4.473637959181715,4.679669306533324,4.624562029392619,0.007217034764416483,1382.071316172306,1363.0429565533088,1391.9580703679233,1390.9089942646779,159.89409240858103,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9377216526905161,0.937646619440691,0.937744449164222,0.9377309494439313,6.921064778755578e-10,77.93870606976233,77.81911458131646,78.12532982708397,77.85831667562483,0.015938030850469288,261.26802386001737,255.8945048628141,264.02228660091646,263.78494580482305,12.925995602996144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.49042041594580205,0.33296435505745303,0.7073552857883872,0.5054568191652632,0.011219338040821265,410.2975879304676,396.02068098885906,433.78246781582175,411.1820914090454,99.6515088577125,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.3708626776031363,0.0,0.6568923057883289,0.6539652529661759,0.669709327057794,0.6554983370131237,1.5694178634708655e-05,87.57352738701107,83.60082339261025,91.62857105556283,87.35180453608406,4.87068060963665,76.25205647510637,72.6993984077813,82.72738801608114,76.09348366184379,6.468361843621096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5285724516755868,0.339466211707911,0.7043572740016655,0.5416817665865238,0.018493168771418354,752.8943204454081,733.5253217765154,768.8925225311675,751.5448849913964,89.4780559220206,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.7661664970693687,0.7535038140135094,0.7759544204138004,0.7703666841515803,6.046277469071428e-05,85.35730432193601,81.6798360240497,89.54542357546194,85.35226807026771,4.717141494927358,128.6896207767468,124.46202773515867,132.24270838935072,128.71751281542817,4.661475575713602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
