Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,1.8539320564171242,1.449994024833624,2.128839051977964,1.9650376480254426,0.062234959087495295,1011.7948537617651,999.5115140791191,1025.5485219288405,1013.9247469638,61.98652623883826,0.2899524459117171,0.2899524459117171,0.2899524459117171,0.2899524459117171,0.0,0.9208385510087806,0.9192172096521817,0.9234183220563551,0.9202882765754217,1.2949313396592624e-06,85.88408890086191,84.8229923512117,87.91295622122853,85.63553553245565,0.666099422957033,180.5731074499582,177.2518380725403,183.87940805795424,181.66425301079337,3.9232877456992608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.5717802633219105,5.5672752109590595,5.577092255312551,5.57231272186726,8.788281729514166e-06,1318.0064369951767,1316.991199663495,1319.2024709272744,1317.8883395675907,0.6559106213584395,0.48,0.48,0.48,0.48,0.0,0.9366969692751772,0.9366695130019402,0.9368087551838777,0.9366705148663543,2.5606328282973017e-09,82.69050804975858,82.59443949384597,82.75943649056032,82.68484393185838,0.002668414315325217,240.92464003263237,240.75801381658096,241.13552761154128,240.9015768950801,0.017709563810822292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.449414400957398,6.381003015996489,6.555960216162484,6.415817439448715,0.0025271893592641614,1404.4531678974442,1395.8078505071098,1419.0664738519397,1401.2556385115006,49.94342883396152,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.899613357874947,0.898344961987555,0.904027146914041,0.8986427705355352,3.287669316174808e-06,72.6107934426244,71.29086938953382,75.71863949545438,71.79118305497488,2.732105202667672,244.4644002778992,243.6267428221359,246.29203003259846,243.96687297656322,0.7943370320931157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.188246152373297,1.6180398395762408,2.8379965192874526,2.4500829089863805,0.19251377270159123,1067.5521387127371,1048.4185967571414,1079.827496356088,1068.6836838058096,105.7529496141501,0.37009633050479535,0.3503966161613153,0.39359774410754356,0.3676770673398066,0.00015254198138954332,0.9116021185942514,0.9039026706559976,0.9149794298231703,0.9149794298231703,2.027227493940469e-05,59.461315064240395,57.482683746864254,62.43432107460285,58.21280911476923,3.8109316845177,147.8987912139207,144.92569486466599,149.4533102683045,148.02777398054124,2.8023772422268203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.8687250167045404,2.84679641219086,2.9060935982828138,2.8650871984615915,0.00028563395848742423,1172.278056968707,1167.5336796663605,1181.306416256657,1171.3716387867385,13.804671657193152,0.48,0.48,0.48,0.48,0.0,0.9348648494105217,0.9347828088904613,0.9349853335402963,0.9348004662227933,8.555827759304038e-09,65.04131305892066,63.65303988818786,66.4439240018374,65.45859122102105,1.0724174181742259,180.8969201163691,179.98644983729216,182.1719702180691,180.64687993181963,0.4979851175676937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.175487468020194,8.175443113616522,8.175542548717528,8.175482223217005,4.5092242184588203e-10,1704.8807476107759,1704.8751115860223,1704.8880190746913,1704.8801884872482,8.002818233693475e-06,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,60.63057471822551,60.58933403420293,60.76074811164959,60.62742022732278,0.0016687785227896598,331.99579562700086,331.9938214275734,331.9983074709772,331.99562221940477,9.450304231331556e-07,41.32508781013657,41.14961398967524,41.378011656210916,41.30360216227673,0.003666176454004178,0.0,0.0,0.0,0.0,0.0
6,1.9752170455925364,1.8918250174570896,2.098113357167237,1.9680722089423184,0.004237769351851177,839.8369669073998,824.6968727564355,884.1605485971502,832.7583946590333,261.5422202706949,0.3755229253019199,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.8325697405090934,0.8263404479485321,0.8417726944302807,0.8286398738491526,4.024011666022709e-05,90.16687819410713,83.76087185758978,92.71009867513042,91.12882547854015,6.981172086563348,148.545053020632,145.6081536252007,158.25705523185943,147.03654249595735,10.647321791377268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.259395674553955,4.040938605389466,4.288386223109455,4.27742856793322,0.00261474255965599,1336.6001814957642,1316.337145258034,1339.0333779382618,1337.752811658308,18.502452657164756,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9376481587948104,0.9376073266710954,0.9376721338750498,0.9376516054114442,2.98530109928586e-10,78.71270455389902,77.8577265731911,81.54855500800942,78.31287849469088,1.1417217598771696,248.37674404030727,242.3750488639214,248.95817225780667,248.63579304765105,1.6065536974310473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.017676344778687264,0.0,0.08408367192238485,0.0,0.0008618984270430721,302.0968409236666,275.562077664919,322.91186679611076,301.48501336479563,165.92325872877964,0.20665298328908613,0.2029591046848846,0.2113542833307972,0.2029591046848846,1.8089616287508655e-05,0.5992476828505883,0.5561053550960084,0.6256909517620488,0.605545385719479,0.00026364648462543275,98.09160139050776,92.40213185010765,102.70356730381866,98.80773329309105,9.006582799923482,59.3876156587069,54.52103443052669,64.67744529680397,58.94389432624773,8.519796309108688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3359221981059888,0.32648555877629076,0.3522799303898952,0.33714216682007625,6.788144295227757e-05,599.5150433043781,579.1352778274969,639.2689771281064,590.249330901406,391.3579541577852,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.649292652887393,0.6258081386106773,0.6915266678104225,0.6350730999148622,0.0005789382823105692,98.93183354650364,91.1165462963946,102.71259217285426,100.946084968142,13.880454985628555,100.243703132796,96.493559700055,108.0319467868741,98.26045091847233,13.71967576415507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
