Season,Yield (tonne/ha)_mean,Yield (tonne/ha)_min,Yield (tonne/ha)_max,Yield (tonne/ha)_median,Yield (tonne/ha)_var,biomass_mean,biomass_min,biomass_max,biomass_median,biomass_var,harvest_index_mean,harvest_index_min,harvest_index_max,harvest_index_median,harvest_index_var,canopy_cover_mean,canopy_cover_min,canopy_cover_max,canopy_cover_median,canopy_cover_var,Es_mean,Es_min,Es_max,Es_median,Es_var,Tr_mean,Tr_min,Tr_max,Tr_median,Tr_var,DeepPerc_mean,DeepPerc_min,DeepPerc_max,DeepPerc_median,DeepPerc_var,CR_mean,CR_min,CR_max,CR_median,CR_var
0,4.314176206989469,3.240201641878449,5.008848051907866,4.381657156371846,0.11500310201226036,1339.961053353226,1220.067017770176,1416.6032340862087,1339.479814448357,1642.1806325555488,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.3887771740376242,0.0,0.9369038091607458,0.9361884362222189,0.9378064917081859,0.937052478273508,2.971514811495431e-07,72.03628947372611,69.97137271918285,75.12792754489087,71.90175814718162,1.0906137764992607,238.25434755465128,206.40468512384453,257.17382425168836,239.41222563104066,108.02250915633942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.464551075597857,6.249829770240693,6.819288887164083,6.3843259902821705,0.03496278379178963,1443.240682307507,1400.5832052552748,1497.7009458539046,1434.498668281846,841.2384879796823,0.48,0.48,0.48,0.48,0.0,0.9376037318495788,0.9373811791278459,0.9378209183821743,0.937557390917668,2.4973953032686258e-08,81.08714735828532,80.62026383163347,82.44342889117767,80.89496343658638,0.20777453392573958,277.57147012007897,266.33142532031917,293.3734022460524,273.9540133380749,68.49222463582292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.7570435103040465,7.374612294910968,7.959278888323353,7.7975689217223465,0.017702575158850226,1682.775140558822,1613.7534912538736,1713.1546270453255,1688.1211680118088,490.26581625476666,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.4650230918439555,0.0,0.934715173768,0.9345631675696404,0.9353086912367735,0.9346957188954554,1.2834154477320693e-08,58.939812360791564,58.26307376008866,62.419936019739346,58.48679473780982,0.8526479155876447,295.27175264539784,276.94510951300055,303.92197215948556,297.4354909267065,37.1213035639107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.882902929203815,3.7128193182062885,5.346232282316998,5.005668340946397,0.21358417295862625,1293.362541657341,1241.3171715240592,1312.0835306536187,1298.4103938843964,325.1962801230773,0.47281133230974765,0.4540793232322631,0.48,0.48,8.003334711776965e-05,0.935769587201135,0.9311486891765767,0.9373176656995098,0.9363870234310353,2.007002860633019e-06,66.0304256597717,61.739237233703996,73.90783865807161,66.29113918167093,8.341862669492077,205.19737184206414,191.32738293518779,210.43750336414888,205.88837098258574,20.276260153210103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.330990949287793,3.619045451691721,5.684258310418764,4.241359263231035,0.2783397488367123,1345.1203104279207,1250.3871928065985,1407.2267259420753,1350.4016530724234,1850.8398853505232,0.48,0.48,0.48,0.48,0.0,0.9373186697334713,0.9364814649447303,0.9377670695675993,0.937492140235269,2.099310189413073e-07,63.18568144514552,61.322026328719936,68.7570163093268,62.735389203926516,2.540357835516421,226.6780764784451,204.66435959946097,240.1588102271948,227.8003805213984,106.1533973410042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.192170046007663,8.18331607111814,8.193210142247032,8.193210142247032,7.633392480261515e-06,1706.797697721871,1705.7656317823107,1706.918343269151,1706.918343269151,0.10324070480320742,0.48,0.48,0.48,0.48,0.0,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.9376741417286278,0.0,61.81939348975846,61.15424511579161,68.15473515173527,61.40087845729085,1.6671949440919107,332.7163276615814,332.3092588539605,332.7647010838104,332.7647010838104,0.016359518190316814,84.26746906837549,71.18747479332048,105.67935209438775,80.72917891566868,72.68423669339205,0.0,0.0,0.0,0.0,0.0
6,3.8434155438439968,2.7287048637467906,4.407648818831731,4.007997077293567,0.1656114856447347,1198.760032756746,1079.4643496747638,1274.4075551693559,1211.876810899289,3451.6242250817195,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.37552292530191994,0.0,0.9200370262467484,0.9053734794994721,0.9337196242642593,0.9207535606439047,5.719524685370303e-05,74.40625551265218,68.39440296723804,86.78109056991323,73.3688971485113,16.253181342766293,221.0313280012382,188.32965256037048,239.738262047488,224.51743295751203,221.1716238134877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.305555969413908,5.128012730581861,5.48890302948147,5.331478741941082,0.007171753460826032,1476.0154497881304,1429.8992968699083,1512.2241237196374,1478.78269089365,294.15422030078514,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.3823030372608826,0.0,0.9377307507412532,0.9377034291334321,0.9377465130023507,0.9377373822246898,2.477825472514356e-10,77.99606008597088,77.27238512916044,82.03569133329816,77.48267392367688,1.455326712685249,289.78576351803923,277.5128118687366,300.20838453310176,291.4906256387253,23.90634001440934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7661935880226021,0.2699390390519515,1.485401767319694,0.6955497919529777,0.07582875396023797,586.4383499043317,417.85680042044226,789.5799042853574,573.1476819556642,11081.290797792868,0.37082909688855265,0.36246749895722374,0.3708626776031363,0.3708626776031363,2.8191609798714443e-07,0.7255708437298066,0.6280183049908838,0.8503759897266743,0.7368918717050283,0.005942429685640258,94.57500224911784,76.75347221695623,106.43724445969583,96.16652431517448,47.870436364443954,107.52447985258743,72.43530899960312,141.8568067482405,104.6476630551901,310.63697364364054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.2742499742138558,0.6146698415505276,2.9498320056369067,0.7747839364731526,0.6135746928857273,1008.5662758086938,947.6170719593237,1074.6552089087988,1006.8779438775318,805.9898367404681,0.377810033644519,0.377810033644519,0.377810033644519,0.377810033644519,0.0,0.8884210367206509,0.8602254606131423,0.9167835695191449,0.8874512845134257,0.0001338737780831859,72.93649434388662,65.47209016072077,83.95754849547303,72.4810061241134,14.878097216581626,184.2940403075118,170.66352736721376,194.5542471888143,184.24753796540233,26.64737694301907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
